Name,Age,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,GB/FB,LD%,GB%,FB%,HR/FB,wOBA,wRAA,wRC,WAR,wRC+,WPA,RE24,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrels,Barrel%,EV,LA,HardHit%,maxEV,xBA,xSLG,xwOBA
Teoscar Hernandez,31,LAD,154,589,652,160,93,32,2,33,84,99,53,3,188,8,1,0,7,12,3,0.272,0.339,0.501,0.84,0.229,0.344,0.081,0.28800000000000003,0.28,187,147,68,8,2610,929,1681,19,0,0,0.0127,0.16899999999999998,0.465,0.366,0.22399999999999998,0.36,26.1,102,3.4,132,2.47,19.66,0.361,0.361,0.27899999999999997,0.139,0.498,0.363,60,0.149,90.6,10.3,0.467,114.1,0.25,0.486,0.346
Alec Bohm,27,PHI,143,554,606,155,94,44,2,15,62,97,40,2,86,6,6,0,18,5,2,0.28,0.332,0.448,0.779,0.168,0.305,0.066,0.142,0.47,218,156,100,11,2123,762,1361,11,0,0,0.013999999999999999,0.21100000000000002,0.46,0.32899999999999996,0.096,0.335,12.2,83,3.4,113,1.51,18.08,0.361,0.371,0.268,0.13699999999999998,0.498,0.365,31,0.065,90.5,9.8,0.451,110.8,0.288,0.444,0.342
Isaac Paredes,25,- - -,153,542,641,129,84,25,1,19,64,80,76,2,105,17,6,0,17,1,1,0.238,0.346,0.393,0.739,0.155,0.259,0.11900000000000001,0.16399999999999998,0.72,135,203,105,42,2854,1051,1803,9,0,0,0.0067,0.237,0.305,0.45799999999999996,0.094,0.327,8.9,84,3.4,116,0.87,12.88,0.537,0.289,0.174,0.212,0.544,0.244,20,0.045,85.0,22.4,0.271,107.3,0.22,0.337,0.304
Kyle Schwarber,31,PHI,150,573,692,142,82,22,0,38,110,104,106,4,197,5,8,0,6,5,3,0.248,0.366,0.485,0.851,0.237,0.301,0.153,0.285,0.54,160,154,70,23,2855,1192,1663,9,0,0,0.0104,0.182,0.41700000000000004,0.401,0.247,0.366,31.0,112,3.3,134,2.71,31.55,0.505,0.33299999999999996,0.161,0.159,0.39799999999999996,0.44299999999999995,60,0.156,93.6,15.0,0.5489999999999999,115.6,0.256,0.512,0.38
Anthony Santander,29,BAL,155,595,665,140,69,25,2,44,91,102,58,3,129,7,5,0,9,2,0,0.235,0.308,0.506,0.814,0.271,0.225,0.087,0.19399999999999998,0.45,145,258,68,43,2742,953,1789,4,0,0,0.005600000000000001,0.14400000000000002,0.308,0.5479999999999999,0.171,0.345,18.7,97,3.2,128,1.98,13.17,0.44799999999999995,0.316,0.23600000000000002,0.18899999999999997,0.461,0.35,55,0.11699999999999999,89.8,22.7,0.414,114.4,0.228,0.445,0.324
Salvador Perez,34,KCR,158,590,652,160,105,28,0,27,58,104,44,9,129,11,6,0,17,0,0,0.271,0.33,0.456,0.786,0.185,0.302,0.067,0.198,0.34,156,208,103,21,2303,742,1561,10,0,0,0.0075,0.221,0.33399999999999996,0.445,0.13,0.335,13.0,89,3.2,116,0.74,9.15,0.495,0.287,0.218,0.13699999999999998,0.501,0.36200000000000004,57,0.122,91.1,19.0,0.442,113.3,0.275,0.522,0.36
JJ Bleday,26,OAK,159,572,642,139,72,43,4,20,74,60,67,2,125,2,0,1,8,2,3,0.243,0.324,0.437,0.762,0.194,0.279,0.10400000000000001,0.195,0.54,152,213,81,26,2488,954,1534,6,2,0,0.0070999999999999995,0.182,0.341,0.478,0.094,0.33,10.4,85,3.2,120,-0.82,0.32,0.42,0.35,0.23,0.174,0.498,0.32799999999999996,37,0.083,88.5,18.6,0.36200000000000004,113.3,0.24,0.397,0.316
Brendan Donovan,27,STL,153,587,652,163,112,34,3,14,65,73,47,0,81,13,5,0,4,5,5,0.278,0.342,0.417,0.759,0.14,0.3,0.07200000000000001,0.124,0.58,212,187,108,21,2487,910,1577,12,4,4,0.0113,0.213,0.418,0.369,0.075,0.332,11.6,88,3.2,115,1.98,17.07,0.364,0.358,0.278,0.166,0.526,0.307,28,0.055,88.7,13.2,0.376,108.7,0.277,0.419,0.335
Joey Ortiz,25,MIL,142,440,511,105,63,25,6,11,58,60,56,0,103,6,6,3,10,11,6,0.239,0.329,0.398,0.726,0.159,0.283,0.11,0.20199999999999999,0.54,166,125,49,11,2127,789,1338,12,6,0,0.013300000000000001,0.14400000000000002,0.488,0.368,0.08800000000000001,0.319,3.5,63,3.2,105,-0.79,3.15,0.358,0.341,0.301,0.185,0.514,0.301,16,0.046,87.8,9.9,0.382,111.5,0.234,0.343,0.305
Daulton Varsho,27,TOR,136,459,513,98,52,21,7,18,73,58,48,1,137,4,1,1,2,10,2,0.214,0.293,0.407,0.7,0.194,0.262,0.094,0.267,0.35,101,166,47,29,2050,753,1297,12,10,4,0.0060999999999999995,0.15,0.322,0.529,0.10800000000000001,0.304,-2.4,58,3.2,98,1.68,3.53,0.515,0.253,0.231,0.222,0.48100000000000004,0.29600000000000004,20,0.062,86.1,24.4,0.33299999999999996,110.2,0.186,0.316,0.261
