game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
776533,2025-08-30T02:15:00Z,2025-08-29,R,Final,Baltimore Orioles,San Francisco Giants,110,137,N,1,Robbie Ray,Dean Kremer,,,8,15,9,Top,2395,Oracle Park,['Apple TV+'],SF leads 1-0,San Francisco Giants,Baltimore Orioles,Spencer Bivens,Dean Kremer,,2025-08-29 - Baltimore Orioles (8) @ San Francisco Giants (15) (Final),
776527,2025-08-30T19:07:00Z,2025-08-30,R,Final,Milwaukee Brewers,Toronto Blue Jays,158,141,N,1,Kevin Gausman,Quinn Priester,,,4,1,9,Bottom,14,Rogers Centre,[],MIL wins 2-0,Milwaukee Brewers,Toronto Blue Jays,Aaron Ashby,Jeff Hoffman,Abner Uribe,2025-08-30 - Milwaukee Brewers (4) @ Toronto Blue Jays (1) (Final),
776525,2025-08-30T20:05:00Z,2025-08-30,R,Final,Tampa Bay Rays,Washington Nationals,139,120,N,1,Jake Irvin,Ryan Pepiot,,,4,1,9,Bottom,3309,Nationals Park,[],TB wins 2-0,Tampa Bay Rays,Washington Nationals,Ryan Pepiot,Jake Irvin,Bryan Baker,2025-08-30 - Tampa Bay Rays (4) @ Washington Nationals (1) (Final),
776539,2025-08-30T20:10:00Z,2025-08-30,R,Final,Pittsburgh Pirates,Boston Red Sox,134,111,N,1,Dustin May,Johan Oviedo,,,10,3,9,Bottom,3,Fenway Park,['MLBN (out-of-market only)'],PIT wins 2-0,Pittsburgh Pirates,Boston Red Sox,Johan Oviedo,Dustin May,,2025-08-30 - Pittsburgh Pirates (10) @ Boston Red Sox (3) (Final),
776535,2025-08-30T20:10:00Z,2025-08-30,R,Final,Miami Marlins,New York Mets,146,121,N,1,David Peterson,Edward Cabrera,,,11,8,9,Bottom,3289,Citi Field,['MLBN (out-of-market only)'],MIA leads 2-1,Miami Marlins,New York Mets,Calvin Faucher,Tyler Rogers,Tyler Phillips,2025-08-30 - Miami Marlins (11) @ New York Mets (8) (Final),
776532,2025-08-30T22:05:00Z,2025-08-30,R,Final,Atlanta Braves,Philadelphia Phillies,144,143,N,1,Cristopher Sánchez,Chris Sale,,,2,3,10,Bottom,2681,Citizens Bank Park,[],PHI wins 3-0,Philadelphia Phillies,Atlanta Braves,Matt Strahm,Hunter Stratton,,2025-08-30 - Atlanta Braves (2) @ Philadelphia Phillies (3) (Final),
776536,2025-08-30T22:40:00Z,2025-08-30,R,Final,St. Louis Cardinals,Cincinnati Reds,138,113,N,1,Andrew Abbott,Michael McGreevy,,,4,2,9,Bottom,2602,Great American Ball Park,[],STL wins 2-0,St. Louis Cardinals,Cincinnati Reds,Michael McGreevy,Andrew Abbott,Kyle Leahy,2025-08-30 - St. Louis Cardinals (4) @ Cincinnati Reds (2) (Final),
776531,2025-08-30T23:10:00Z,2025-08-30,R,Final,Los Angeles Angels,Houston Astros,108,117,N,1,Spencer Arrighetti,Kyle Hendricks,,,4,1,9,Bottom,2392,Daikin Park,[],Series tied 1-1,Los Angeles Angels,Houston Astros,José Fermin,Bryan Abreu,Kenley Jansen,2025-08-30 - Los Angeles Angels (4) @ Houston Astros (1) (Final),
776530,2025-08-30T23:10:00Z,2025-08-30,R,Final,San Diego Padres,Minnesota Twins,135,142,N,1,Taj Bradley,Nick Pivetta,,,12,3,9,Bottom,3312,Target Field,[],Series tied 1-1,San Diego Padres,Minnesota Twins,Adrian Morejon,Mick Abel,,2025-08-30 - San Diego Padres (12) @ Minnesota Twins (3) (Final),
776529,2025-08-30T23:10:00Z,2025-08-30,R,Final,New York Yankees,Chicago White Sox,147,145,N,1,Shane Smith,Cam Schlittler,,,5,3,11,Bottom,4,Rate Field,[],NYY wins 3-0,New York Yankees,Chicago White Sox,David Bednar,Tyler Alexander,Camilo Doval,2025-08-30 - New York Yankees (5) @ Chicago White Sox (3) (Final),
776528,2025-08-30T23:15:00Z,2025-08-30,R,Final,Detroit Tigers,Kansas City Royals,116,118,N,1,Stephen Kolek,Jack Flaherty,,,1,3,9,Top,7,Kauffman Stadium,['FOX'],Series tied 1-1,Kansas City Royals,Detroit Tigers,Lucas Erceg,Tyler Holton,Carlos Estévez,2025-08-30 - Detroit Tigers (1) @ Kansas City Royals (3) (Final),
776537,2025-08-30T23:15:00Z,2025-08-30,R,Final,Seattle Mariners,Cleveland Guardians,136,114,N,1,Gavin Williams,Logan Gilbert,,,3,4,9,Top,5,Progressive Field,['FOX'],CLE wins 2-0,Cleveland Guardians,Seattle Mariners,Gavin Williams,Logan Gilbert,Cade Smith,2025-08-30 - Seattle Mariners (3) @ Cleveland Guardians (4) (Final),
776516,2025-08-30T23:15:00Z,2025-08-30,R,Final,Baltimore Orioles,San Francisco Giants,110,137,N,1,Carson Seymour,Trevor Rogers,,,11,1,9,Bottom,2395,Oracle Park,['FOX'],Series tied 1-1,Baltimore Orioles,San Francisco Giants,Trevor Rogers,Carson Seymour,,2025-08-30 - Baltimore Orioles (11) @ San Francisco Giants (1) (Final),
776526,2025-08-31T00:10:00Z,2025-08-30,R,Final,Chicago Cubs,Colorado Rockies,112,115,N,1,McCade Brown,Javier Assad,,,4,3,9,Bottom,19,Coors Field,[],CHC wins 2-0,Chicago Cubs,Colorado Rockies,Javier Assad,McCade Brown,Daniel Palencia,2025-08-30 - Chicago Cubs (4) @ Colorado Rockies (3) (Final),
776523,2025-08-31T01:10:00Z,2025-08-30,R,Final,Arizona Diamondbacks,Los Angeles Dodgers,109,119,N,1,Tyler Glasnow,Eduardo Rodriguez,,,6,1,9,Bottom,22,Dodger Stadium,[],AZ wins 2-0,Arizona Diamondbacks,Los Angeles Dodgers,Eduardo Rodriguez,Tyler Glasnow,,2025-08-30 - Arizona Diamondbacks (6) @ Los Angeles Dodgers (1) (Final),
776524,2025-08-31T02:05:00Z,2025-08-30,R,Final,Texas Rangers,Athletics,140,133,N,1,Mason Barnett,Merrill Kelly,,,9,3,9,Bottom,2529,Sutter Health Park,['MLBN (out-of-market only)'],TEX wins 2-0,Texas Rangers,Athletics,Merrill Kelly,Mason Barnett,,2025-08-30 - Texas Rangers (9) @ Athletics (3) (Final),
