game_id,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_BB,home_SO/BB,home_WHIP,away_ERA,away_ER,away_R,away_SO,away_BB,away_SO/BB,away_WHIP,home_OBP,home_SLG,home_HR,home_R/G,home_BB_batting,home_SO_batting,home_IBB,away_OBP,away_SLG,away_HR,away_R/G,away_BB_batting,away_SO_batting,away_IBB,temp,condition,wind,home_lineup_score,away_lineup_score,home_n_starters,away_n_starters,home_last7_win_pct,home_streak,away_last7_win_pct,away_streak,Partly Cloudy,Clear,Sunny,Cloudy,Roof Closed,Overcast,Dome,Drizzle,Unknown,Rain,away_strea
779019,San Diego Padres,Chicago Cubs,Randy Vásquez,Matthew Boyd,10,5,3.84,57.0,59.0,78.0,52.0,1.5,1.324,3.21,64.0,69.0,154.0,42.0,3.67,1.091,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,78.0,2,3.0,0.8177619047619048,1.1519444444444444,21,18,0.6666666666666666,-1.0,1.0,4.0,False,False,True,False,False,False,False,False,False,False,4.0
779159,Los Angeles Angels,San Francisco Giants,Kyle Hendricks,Mason Black,4,7,4.76,87.0,92.0,114.0,43.0,2.65,1.275,6.75,3.0,5.0,5.0,0.0,,1.25,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,78.0,2,2.0,0.7251578947368421,0.8043888888888888,19,18,0.5,-1.0,1.0,2.0,False,False,True,False,False,False,False,False,False,False,2.0
779104,Milwaukee Brewers,Seattle Mariners,Chad Patrick,Logan Gilbert,12,8,3.53,47.0,49.0,127.0,40.0,3.18,1.279,3.44,50.0,53.0,173.0,31.0,5.58,1.031,0.326,0.403,177.0,4.8,597.0,1459.0,19.0,0.311,0.376,185.0,4.17,571.0,1625.0,14.0,76.0,2,4.0,0.793888888888889,0.9322105263157896,18,19,0.5,-1.0,0.3333333333333333,1.0,False,False,True,False,False,False,False,False,False,False,1.0
779114,Detroit Tigers,Toronto Blue Jays,Keider Montero,Bowden Francis,0,0,4.37,44.0,46.0,72.0,31.0,2.32,1.39,6.05,43.0,46.0,54.0,27.0,2.0,1.531,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,,8,,,,0,0,1.0,2.0,1.0,2.0,False,False,False,False,False,False,False,False,True,False,2.0
778978,Tampa Bay Rays,Minnesota Twins,Zack Littell,Chris Paddack,0,0,3.81,79.0,81.0,130.0,32.0,4.06,1.104,5.35,94.0,98.0,112.0,37.0,3.03,1.285,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,,8,,,,0,0,0.3333333333333333,1.0,0.5,-1.0,False,False,False,False,False,False,False,False,True,False,-1.0
778913,Philadelphia Phillies,Pittsburgh Pirates,Cristopher Sánchez,Paul Skenes,0,0,2.5,56.0,58.0,212.0,44.0,4.82,1.064,1.97,41.0,45.0,216.0,42.0,5.14,0.948,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,,8,,,,0,0,0.0,-2.0,1.0,2.0,False,False,False,False,False,False,False,False,True,False,2.0
778737,Houston Astros,Miami Marlins,Ronel Blanco,Ryan Weathers,0,0,4.1,22.0,22.0,48.0,20.0,2.4,1.179,3.99,17.0,20.0,37.0,12.0,3.08,1.278,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,,8,,,,0,0,0.3333333333333333,1.0,0.5,-1.0,False,False,False,False,False,False,False,False,True,False,-1.0
779134,Baltimore Orioles,Atlanta Braves,Dean Kremer,Reynaldo López,0,0,4.19,80.0,83.0,142.0,45.0,3.16,1.212,5.4,3.0,3.0,1.0,2.0,0.5,2.2,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,,8,,,,0,0,0.5,1.0,0.0,-2.0,False,False,False,False,False,False,False,False,True,False,-2.0
778771,Boston Red Sox,New York Yankees,Tanner Houck,Carlos Carrasco,0,0,8.04,39.0,41.0,32.0,17.0,1.88,1.695,7.09,36.0,36.0,34.0,17.0,2.0,1.708,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,,8,,,,0,0,0.6666666666666666,-1.0,0.3333333333333333,-2.0,False,False,False,False,False,False,False,False,True,False,-2.0
779130,Baltimore Orioles,Detroit Tigers,Charlie Morton,Jackson Jobe,7,8,5.83,92.0,94.0,149.0,72.0,2.07,1.577,4.22,23.0,24.0,39.0,27.0,1.44,1.49,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,67.0,3,11.0,0.7252105263157894,0.9244444444444444,19,18,0.3333333333333333,-1.0,0.6666666666666666,-1.0,False,False,False,True,False,False,False,False,False,False,-1.0
778739,Houston Astros,New York Mets,Ronel Blanco,Austin Warren,5,8,4.1,22.0,22.0,48.0,20.0,2.4,1.179,0.96,1.0,1.0,9.0,4.0,2.25,0.964,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,75.0,0,6.0,0.988777777777778,0.7193529411764706,18,17,0.25,-1.0,0.25,-3.0,True,False,False,False,False,False,False,False,False,False,-3.0
778975,Tampa Bay Rays,Philadelphia Phillies,Taj Bradley,Cristopher Sánchez,5,4,5.05,80.0,88.0,127.0,56.0,2.27,1.311,2.5,56.0,58.0,212.0,44.0,4.82,1.064,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,73.0,0,7.0,0.4795555555555555,0.7070000000000001,18,18,0.25,-1.0,0.0,-3.0,True,False,False,False,False,False,False,False,False,False,-3.0
778703,Atlanta Braves,Boston Red Sox,Reynaldo López,Sean Newcomb,1,6,5.4,3.0,3.0,1.0,2.0,0.5,2.2,2.73,28.0,36.0,91.0,31.0,2.94,1.354,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,69.0,3,14.0,0.6048333333333333,0.6090555555555555,18,18,0.0,-3.0,0.5,-2.0,False,False,False,True,False,False,False,False,False,False,-2.0
779038,Pittsburgh Pirates,Atlanta Braves,Jared Jones,Spencer Schwellenbach,2,1,,,,,,,,3.09,38.0,44.0,108.0,18.0,6.0,0.967,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,67.0,5,12.0,0.5675,0.4787222222222222,18,18,0.6666666666666666,-1.0,0.0,-3.0,False,False,False,False,False,True,False,False,False,False,-3.0
778882,Minnesota Twins,New York Yankees,Simeon Woods Richardson,Carlos Carrasco,4,5,4.04,50.0,53.0,107.0,46.0,2.33,1.275,7.09,36.0,36.0,34.0,17.0,2.0,1.708,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,73.0,0,13.0,0.5212777777777778,0.7706666666666666,18,18,0.3333333333333333,-2.0,0.25,-3.0,True,False,False,False,False,False,False,False,False,False,-3.0
778958,Toronto Blue Jays,St. Louis Cardinals,Max Scherzer,Quinn Mathews,2,3,5.19,49.0,49.0,82.0,23.0,3.57,1.294,,,,,,,,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,65.0,0,11.0,0.8044736842105263,0.7045882352941176,19,17,0.6666666666666666,-1.0,0.3333333333333333,1.0,True,False,False,False,False,False,False,False,False,False,1.0
