,game_id,home_lineup_score,away_lineup_score,home_n_starters,away_n_starters
0,748266,0.614,0.8332499999999999,19,20
1,748344,0.9510000000000001,0.4537222222222222,17,18
2,748263,0.6481111111111111,0.5833333333333334,18,18
3,748341,0.6665555555555556,0.28700000000000003,18,18
4,748260,0.9626470588235295,0.2718947368421053,17,19
5,748264,0.625,0.35183333333333333,20,18
6,748265,1.0278333333333334,0.48144444444444445,18,18
7,748262,0.8596315789473683,0.713,19,18
8,748258,0.8055555555555556,0.5877368421052631,18,19
9,748256,1.1296111111111111,0.5833333333333334,18,18
10,748255,0.9536666666666667,0.9209999999999999,18,19
11,748254,0.868421052631579,1.272,19,19
12,748257,0.8147777777777778,1.0370555555555556,18,18
13,748259,0.7962777777777778,0.5647777777777778,18,18
14,748252,0.4444444444444444,0.8333333333333334,18,18
15,748251,0.3055555555555556,0.44420000000000004,18,20
16,748253,0.5925555555555556,0.6813333333333333,18,18
17,748247,0.8425555555555556,0.7788947368421052,18,19
18,748248,0.6734090909090908,0.7280000000000001,22,19
19,748250,0.5454444444444444,0.6713333333333333,18,18
20,748249,0.91665,0.7912222222222223,20,18
21,748246,0.7315238095238096,0.9692631578947368,21,19
22,748261,0.8332222222222222,0.5832777777777778,18,18
23,748245,0.26931578947368423,0.6638333333333333,19,18
24,748240,0.35183333333333333,0.7469444444444444,18,18
25,748243,1.0481666666666667,0.7426111111111111,18,18
26,748238,0.8047222222222222,0.7665555555555555,18,18
27,748244,0.7018333333333333,0.7002777777777778,18,18
28,748239,1.3075882352941175,0.5637777777777777,17,18
29,748237,0.7175,0.2634705882352941,18,17
30,748242,0.6324444444444445,0.5235263157894736,18,19
31,748241,0.529611111111111,0.9105263157894737,18,19
32,748236,0.8841111111111111,0.8105263157894737,18,19
33,748232,0.7005789473684211,0.4508947368421053,19,19
34,748233,0.7487777777777778,0.57115,18,20
35,748230,0.36926315789473685,0.3832222222222222,19,18
36,748231,0.5657368421052632,0.4303888888888889,19,18
37,748235,0.7083333333333334,0.7972631578947368,18,19
38,748229,0.7662777777777777,0.37216666666666665,18,18
39,748234,0.7984210526315789,0.6613913043478261,19,23
40,748227,0.7323888888888889,0.46842105263157896,18,19
41,748226,0.8766111111111111,0.542611111111111,18,18
42,748222,0.6437777777777778,0.9922222222222222,18,18
43,748221,0.8834444444444445,0.6551111111111111,18,18
44,748228,0.5511111111111111,0.46844444444444444,18,18
45,748223,1.0386666666666668,0.6527222222222222,18,18
46,748225,0.9275,0.5485,18,18
47,748224,0.5727222222222221,0.7613888888888889,18,18
48,748218,0.7120000000000001,0.5993888888888889,18,18
49,748219,0.6501111111111111,0.6607222222222222,18,18
50,748214,0.32811764705882357,0.4657777777777778,17,18
51,748220,0.9408333333333333,0.9735,18,18
52,748213,0.5250555555555556,0.6136666666666666,18,18
53,748216,0.7418888888888888,0.84155,18,20
54,748215,0.7174736842105263,0.8138888888888889,19,18
55,748217,0.8622,0.8559444444444444,20,18
56,748211,0.6357222222222222,0.6027222222222223,18,18
57,748210,0.5936666666666667,0.908,18,18
58,748212,0.75765,0.7075,20,18
59,748209,0.7416315789473685,0.5209444444444444,19,18
60,748208,0.7770526315789473,0.6644444444444444,19,18
61,748207,0.7924736842105263,0.6179444444444444,19,18
62,748205,0.7822631578947368,0.8349473684210527,19,19
63,748206,0.7062777777777778,0.5572777777777778,18,18
64,748203,0.691764705882353,0.8011578947368421,17,19
65,748204,0.679125,0.64065,16,20
66,748201,0.8016,0.6595555555555556,20,18
67,748198,0.7491052631578947,0.9265,19,18
68,748199,0.9891666666666666,0.6935555555555556,18,18
69,748202,0.6729999999999999,0.5249411764705882,17,17
70,748200,0.7458888888888889,0.7367368421052631,18,19
71,748197,0.7259473684210526,0.5294666666666666,19,15
72,748196,0.8294444444444444,0.7610555555555556,18,18
73,748194,0.6301666666666667,0.8113333333333332,18,18
74,748195,0.7517777777777778,0.8493888888888889,18,18
75,748189,0.8892777777777778,0.8672777777777778,18,18
76,748192,0.7178888888888889,0.7188333333333333,18,18
77,748191,0.6884999999999999,0.6332222222222222,18,18
78,748193,0.7839444444444444,0.5603684210526316,18,19
79,748188,0.7072777777777778,0.9971500000000001,18,20
80,748183,0.7348888888888889,0.5988888888888888,18,18
81,748184,0.7988500000000001,0.9522105263157894,20,19
82,748185,0.4863333333333333,0.7411666666666666,18,18
83,748190,0.8177368421052631,0.7373157894736843,19,19
84,748186,0.6317777777777778,0.6851111111111111,18,18
85,748187,0.5579444444444444,0.7173333333333334,18,18
86,748182,0.7951666666666667,0.5991666666666666,18,18
87,748179,0.8152222222222222,0.6935,18,18
88,748180,0.7092777777777778,0.6891666666666666,18,18
89,748175,0.8460555555555556,0.6313888888888889,18,18
90,748178,0.7010555555555555,0.5755,18,18
91,748176,0.5191111111111111,0.7450555555555556,18,18
92,748174,0.7544736842105264,0.741,19,19
93,748169,0.7702777777777778,0.4803888888888889,18,18
94,748172,0.40944444444444444,0.5355555555555556,18,18
95,748167,0.6198333333333333,0.6345,18,18
96,748173,0.7719411764705882,0.6817647058823529,17,17
97,748168,0.7133888888888889,0.5193157894736843,18,19
98,748170,0.964842105263158,0.6107777777777778,19,18
99,748181,0.5091176470588235,0.7728333333333333,17,18
100,748177,0.6483333333333333,0.434,18,18
101,748171,0.8185294117647058,0.7333888888888889,17,18
102,748165,0.8093684210526316,0.5436315789473685,19,19
103,748162,0.6247222222222222,0.6002222222222222,18,18
104,748161,0.7391111111111112,0.8694999999999999,18,18
105,748164,0.43688235294117644,0.6992352941176471,17,17
