game_id,temp,condition,wind
745771,72,Cloudy,"7 mph, In From CF"
746254,86,Clear,"11 mph, R To L"
745933,73,Clear,"8 mph, In From LF"
745121,80,Partly Cloudy,"5 mph, Out To LF"
744959,74,Roof Closed,"0 mph, None"
745199,65,Clear,"2 mph, Out To RF"
746985,79,Partly Cloudy,"7 mph, In From LF"
746579,76,Sunny,"4 mph, L To R"
746663,85,Sunny,"4 mph, L To R"
744962,74,Roof Closed,"0 mph, None"
745204,57,Partly Cloudy,"4 mph, Out To CF"
746011,72,Roof Closed,"0 mph, None"
745041,72,Dome,"0 mph, None"
745120,84,Clear,"7 mph, Out To LF"
745769,78,Cloudy,"5 mph, R To L"
745937,78,Partly Cloudy,"11 mph, In From RF"
746823,78,Partly Cloudy,"9 mph, R To L"
746341,73,Roof Closed,"0 mph, None"
746824,82,Partly Cloudy,"9 mph, Out To RF"
746661,87,Partly Cloudy,"6 mph, R To L"
745043,72,Dome,"0 mph, None"
746984,81,Clear,"3 mph, Out To LF"
746905,64,Cloudy,"9 mph, Out To CF"
745770,73,Clear,"9 mph, In From RF"
746013,72,Roof Closed,"0 mph, None"
744960,74,Roof Closed,"0 mph, None"
746340,73,Roof Closed,"0 mph, None"
746256,93,Clear,"9 mph, R To L"
745934,77,Clear,"5 mph, Calm"
745123,93,Partly Cloudy,"3 mph, R To L"
745364,68,Partly Cloudy,"8 mph, L To R"
745606,62,Clear,"10 mph, Varies"
746094,68,Clear,"4 mph, Out To RF"
746660,84,Sunny,"3 mph, Out To CF"
746826,84,Sunny,"8 mph, R To L"
746983,79,Partly Cloudy,"4 mph, R To L"
745038,72,Dome,"0 mph, None"
745768,77,Partly Cloudy,"8 mph, In From CF"
746012,72,Roof Closed,"0 mph, None"
746255,87,Partly Cloudy,"12 mph, R To L"
744958,74,Roof Closed,"0 mph, None"
746338,73,Roof Closed,"0 mph, None"
745936,82,Roof Closed,"4 mph, In From RF"
745124,85,Overcast,"4 mph, Out To CF"
745360,70,Partly Cloudy,"10 mph, Out To RF"
745610,66,Clear,"14 mph, Out To RF"
746096,69,Clear,"5 mph, L To R"
746906,64,Cloudy,"9 mph, In From CF"
746903,66,Cloudy,"10 mph, In From RF"
746906,64,Cloudy,"9 mph, In From CF"
746657,87,Partly Cloudy,"6 mph, R To L"
746982,75,Cloudy,"5 mph, Out To LF"
745036,72,Dome,"0 mph, None"
746010,72,Roof Closed,"0 mph, None"
746339,73,Roof Closed,"0 mph, None"
746253,64,Drizzle,"10 mph, L To R"
745929,76,Roof Closed,"0 mph, None"
745118,78,Overcast,"6 mph, R To L"
746825,68,Rain,"2 mph, L To R"
744955,74,Roof Closed,"0 mph, None"
745608,69,Sunny,"7 mph, Out To RF"
746092,81,Sunny,"4 mph, L To R"
745358,73,Sunny,"11 mph, L To R"
745767,70,Cloudy,"6 mph, In From RF"
745527,63,Cloudy,"8 mph, R To L"
744885,68,Roof Closed,"0 mph, None"
746334,73,Roof Closed,"0 mph, None"
747150,78,Roof Closed,"0 mph, None"
746421,68,Overcast,"5 mph, L To R"
746581,73,Cloudy,"8 mph, Out To CF"
745526,66,Cloudy,"10 mph, R To L"
745441,73,Overcast,"11 mph, Out To LF"
744802,66,Overcast,"0 mph, None"
745688,65,Partly Cloudy,"9 mph, In From CF"
744876,68,Roof Closed,"0 mph, None"
747068,87,Partly Cloudy,"8 mph, L To R"
746743,64,Cloudy,"10 mph, Out To CF"
745851,72,Partly Cloudy,"5 mph, Out To RF"
746336,73,Roof Closed,"0 mph, None"
746504,74,Clear,"3 mph, L To R"
747149,78,Roof Closed,"0 mph, None"
745605,69,Partly Cloudy,"13 mph, Out To RF"
746093,69,Clear,"7 mph, Out To RF"
746331,73,Roof Closed,"0 mph, None"
745521,66,Cloudy,"9 mph, R To L"
746583,71,Overcast,"2 mph, Calm"
746420,75,Cloudy,"7 mph, In From RF"
745442,76,Overcast,"7 mph, In From CF"
744795,71,Overcast,"8 mph, Out To RF"
745690,65,Overcast,"11 mph, In From CF"
744877,72,Cloudy,"16 mph, Out To LF"
746742,70,Clear,"6 mph, In From LF"
745854,76,Clear,"3 mph, Out To RF"
746501,85,Clear,"5 mph, Out To LF"
747144,78,Roof Closed,"0 mph, None"
745607,64,Partly Cloudy,"14 mph, Out To RF"
746095,69,Clear,"9 mph, Varies"
747064,76,Cloudy,"7 mph, R To L"
745443,70,Overcast,"5 mph, Out To CF"
744796,77,Cloudy,"5 mph, Out To CF"
