game_id,temp,condition,wind
744881,68,Sunny,"6 mph, R To L"
747154,78,Roof Closed,"0 mph, None"
746425,82,Clear,"7 mph, In From RF"
745525,79,Clear,"6 mph, R To L"
744804,79,Clear,"4 mph, Out To LF"
745697,73,Clear,"8 mph, In From CF"
746908,72,Clear,"3 mph, Out To CF"
745857,85,Clear,"6 mph, Out To LF"
745127,86,Partly Cloudy,"7 mph, In From RF"
746342,73,Roof Closed,"0 mph, None"
745214,62,Partly Cloudy,"5 mph, L To R"
745285,67,Clear,"21 mph, Out To CF"
746100,70,Clear,"7 mph, Out To CF"
746427,82,Sunny,"5 mph, Out To CF"
745129,82,Cloudy,"6 mph, Out To LF"
746337,73,Roof Closed,"0 mph, None"
744805,79,Clear,"4 mph, Out To LF"
746591,76,Clear,"8 mph, In From CF"
745695,72,Partly Cloudy,"8 mph, R To L"
745208,69,Partly Cloudy,"1 mph, In From LF"
745288,65,Clear,"10 mph, Varies"
746423,81,Clear,"13 mph, In From LF"
745447,81,Clear,"9 mph, In From LF"
745529,82,Partly Cloudy,"5 mph, R To L"
744800,79,Partly Cloudy,"11 mph, In From RF"
745696,74,Clear,"7 mph, In From RF"
744882,67,Partly Cloudy,"9 mph, R To L"
746586,76,Clear,"10 mph, In From CF"
747069,72,Overcast,"11 mph, L To R"
746744,78,Partly Cloudy,"12 mph, L To R"
745855,78,Partly Cloudy,"10 mph, R To L"
746509,80,Cloudy,"7 mph, R To L"
746181,73,Clear,"8 mph, Out To RF"
747153,78,Roof Closed,"0 mph, None"
745207,61,Roof Closed,"0 mph, None"
745286,62,Clear,"14 mph, Out To CF"
745448,82,Sunny,"7 mph, Out To LF"
745689,77,Sunny,"10 mph, In From CF"
744884,68,Sunny,"9 mph, L To R"
745528,86,Partly Cloudy,"11 mph, R To L"
744803,81,Sunny,"11 mph, R To L"
746422,81,Clear,"9 mph, In From LF"
746584,80,Clear,"8 mph, In From CF"
745858,76,Overcast,"6 mph, R To L"
746740,81,Partly Cloudy,"9 mph, L To R"
747070,71,Cloudy,"10 mph, L To R"
746508,87,Clear,"9 mph, R To L"
747148,78,Roof Closed,"0 mph, None"
745284,59,Clear,"14 mph, Out To CF"
746177,72,Clear,"8 mph, R To L"
745209,57,Roof Closed,"3 mph, In From CF"
746419,81,Sunny,"7 mph, In From CF"
745852,81,Partly Cloudy,"10 mph, R To L"
745449,83,Sunny,"9 mph, In From CF"
745530,83,Partly Cloudy,"10 mph, In From RF"
744801,79,Sunny,"8 mph, In From RF"
745693,74,Sunny,"9 mph, In From LF"
744883,74,Sunny,"7 mph, Out To LF"
746585,82,Sunny,"2 mph, Calm"
746741,90,Sunny,"3 mph, L To R"
746506,83,Partly Cloudy,"3 mph, R To L"
745287,61,Partly Cloudy,"20 mph, Out To CF"
746180,76,Cloudy,"6 mph, Out To CF"
745206,58,Cloudy,"9 mph, Out To CF"
747151,77,Roof Closed,"0 mph, None"
747071,78,Partly Cloudy,"11 mph, L To R"
746588,77,Clear,"15 mph, R To L"
745773,73,Cloudy,"6 mph, R To L"
747067,79,Clear,"8 mph, Out To RF"
746260,86,Partly Cloudy,"10 mph, R To L"
746828,79,Partly Cloudy,"6 mph, In From RF"
745939,74,Partly Cloudy,"8 mph, In From CF"
745130,80,Partly Cloudy,"5 mph, In From LF"
746502,80,Partly Cloudy,"8 mph, L To R"
746179,68,Partly Cloudy,"12 mph, Out To CF"
745367,67,Partly Cloudy,"14 mph, L To R"
746987,75,Overcast,"6 mph, In From RF"
746587,76,Partly Cloudy,"6 mph, In From CF"
746659,76,Cloudy,"6 mph, L To R"
746015,72,Roof Closed,"0 mph, None"
745044,72,Dome,"0 mph, None"
745772,74,Cloudy,"6 mph, R To L"
746261,86,Clear,"9 mph, R To L"
746830,74,Clear,"6 mph, In From CF"
745935,76,Clear,"4 mph, L To R"
745122,85,Clear,"5 mph, R To L"
744961,74,Roof Closed,"0 mph, None"
746503,74,Clear,"5 mph, In From LF"
746176,71,Partly Cloudy,"7 mph, Out To CF"
745366,70,Clear,"8 mph, L To R"
745205,62,Cloudy,"3 mph, In From LF"
746831,81,Sunny,"7 mph, In From RF"
746500,82,Sunny,"5 mph, R To L"
746172,75,Partly Cloudy,"8 mph, Out To CF"
746988,75,Cloudy,"6 mph, In From CF"
745365,71,Partly Cloudy,"11 mph, L To R"
746582,75,Partly Cloudy,"2 mph, In From CF"
746662,83,Partly Cloudy,"7 mph, In From LF"
746014,72,Roof Closed,"0 mph, None"
745040,72,Dome,"0 mph, None"
