game_id,temp,condition,wind
746880,69,Sunny,"10 mph, In From LF"
745012,74,Roof Closed,"0 mph, None"
745336,61,Sunny,"10 mph, Out To CF"
747198,77,Roof Closed,"0 mph, None"
746144,70,Partly Cloudy,"6 mph, Out To CF"
747120,81,Partly Cloudy,"5 mph, Out To LF"
747119,77,Sunny,"9 mph, L To R"
747121,82,Partly Cloudy,"4 mph, L To R"
744935,74,Partly Cloudy,"9 mph, R To L"
746637,83,Partly Cloudy,"4 mph, In From CF"
746066,72,Roof Closed,"0 mph, None"
744857,78,Partly Cloudy,"4 mph, Out To RF"
745093,72,Dome,"0 mph, None"
745746,68,Partly Cloudy,"10 mph, R To L"
746307,81,Cloudy,"12 mph, R To L"
745181,82,Cloudy,"9 mph, In From RF"
746390,73,Roof Closed,"0 mph, None"
746146,62,Partly Cloudy,"8 mph, Out To RF"
746633,83,Partly Cloudy,"4 mph, In From CF"
746716,83,Partly Cloudy,"9 mph, In From RF"
745503,86,Partly Cloudy,"10 mph, Out To LF"
745578,81,Partly Cloudy,"11 mph, Out To RF"
746058,72,Roof Closed,"0 mph, None"
744860,83,Partly Cloudy,"4 mph, Out To LF"
745090,72,Dome,"0 mph, None"
745742,76,Partly Cloudy,"8 mph, Out To LF"
744936,76,Clear,"6 mph, Out To RF"
746309,75,Partly Cloudy,"18 mph, L To R"
746875,88,Partly Cloudy,"22 mph, Out To LF"
745180,86,Overcast,"21 mph, Out To LF"
746385,73,Roof Closed,"0 mph, None"
745662,72,Clear,"12 mph, Out To RF"
746145,67,Clear,"6 mph, Out To RF"
745180,86,Overcast,"21 mph, Out To LF"
744856,85,Sunny,"5 mph, Out To CF"
746634,76,Overcast,"18 mph, Out To CF"
745173,76,Cloudy,"8 mph, Out To CF"
746386,73,Roof Closed,"0 mph, None"
746304,69,Sunny,"3 mph, L To R"
746712,81,Partly Cloudy,"9 mph, Out To LF"
745502,82,Partly Cloudy,"16 mph, Out To CF"
745576,83,Partly Cloudy,"12 mph, Out To CF"
746063,72,Roof Closed,"0 mph, None"
745089,72,Dome,"0 mph, None"
745743,76,Clear,"11 mph, R To L"
744933,69,Partly Cloudy,"14 mph, Out To LF"
746876,75,Clear,"7 mph, Out To RF"
745661,64,Clear,"13 mph, Out To RF"
746143,62,Clear,"6 mph, Out To RF"
745500,75,Partly Cloudy,"4 mph, Out To CF"
745741,71,Overcast,"6 mph, L To R"
745573,80,Cloudy,"5 mph, L To R"
746714,76,Partly Cloudy,"7 mph, In From CF"
746874,75,Sunny,"8 mph, In From RF"
745660,65,Sunny,"7 mph, Out To RF"
746474,82,Clear,"12 mph, R To L"
746792,73,Clear,"10 mph, In From LF"
746475,80,Partly Cloudy,"6 mph, In From LF"
745501,85,Partly Cloudy,"6 mph, Calm"
744853,82,Partly Cloudy,"3 mph, In From RF"
745087,72,Dome,"0 mph, None"
746713,80,Partly Cloudy,"6 mph, In From RF"
745822,80,Clear,"6 mph, Out To RF"
745905,67,Partly Cloudy,"14 mph, Out To CF"
746956,82,Clear,"8 mph, Out To RF"
746793,73,Cloudy,"17 mph, In From RF"
746558,70,Cloudy,"10 mph, Out To CF"
746227,66,Partly Cloudy,"8 mph, Out To CF"
745663,56,Cloudy,"18 mph, Out To RF"
747200,78,Roof Closed,"0 mph, None"
745415,64,Partly Cloudy,"8 mph, L To R"
745175,89,Clear,"7 mph, In From RF"
746470,78,Partly Cloudy,"10 mph, Out To LF"
745823,79,Sunny,"8 mph, Out To LF"
745901,72,Partly Cloudy,"13 mph, Out To LF"
746794,68,Sunny,"9 mph, In From LF"
744851,88,Partly Cloudy,"2 mph, Out To LF"
745493,71,Cloudy,"9 mph, Out To LF"
745658,57,Cloudy,"13 mph, Out To RF"
745086,72,Dome,"0 mph, None"
746958,77,Partly Cloudy,"7 mph, R To L"
746710,79,Partly Cloudy,"5 mph, Out To CF"
745176,81,Clear,"4 mph, In From CF"
746556,68,Overcast,"8 mph, R To L"
746226,66,Partly Cloudy,"9 mph, R To L"
745411,61,Cloudy,"7 mph, L To R"
747199,89,Clear,"1 mph, Calm"
746469,74,Partly Cloudy,"10 mph, In From LF"
746711,80,Cloudy,"11 mph, In From CF"
744855,84,Partly Cloudy,"4 mph, In From CF"
745498,79,Partly Cloudy,"6 mph, Calm"
746957,81,Sunny,"3 mph, In From RF"
745824,81,Sunny,"7 mph, Out To LF"
745088,72,Dome,"0 mph, None"
745902,68,Overcast,"9 mph, In From RF"
746789,62,Overcast,"11 mph, L To R"
746557,66,Partly Cloudy,"9 mph, L To R"
746230,71,Partly Cloudy,"4 mph, Out To RF"
745653,67,Sunny,"9 mph, Varies"
747197,74,Roof Closed,"0 mph, None"
