game_id,temp,condition,wind
746068,72,Roof Closed,"0 mph, None"
745092,72,Dome,"0 mph, None"
746798,78,Sunny,"6 mph, In From RF"
745990,77,Partly Cloudy,"11 mph, R To L"
746555,52,Partly Cloudy,"5 mph, L To R"
745345,57,Partly Cloudy,"13 mph, Out To CF"
746234,73,Sunny,"6 mph, L To R"
745419,67,Sunny,"8 mph, L To R"
745255,65,Sunny,"1 mph, In From LF"
745825,54,Partly Cloudy,"6 mph, Out To LF"
747040,75,Partly Cloudy,"9 mph, Out To LF"
746471,80,Partly Cloudy,"16 mph, Out To CF"
746961,64,Partly Cloudy,"9 mph, Out To CF"
745826,61,Partly Cloudy,"10 mph, Out To RF"
747128,65,Cloudy,"11 mph, L To R"
745991,71,Roof Closed,"0 mph, None"
745019,74,Roof Closed,"0 mph, None"
746393,73,Roof Closed,"0 mph, None"
746233,65,Clear,"8 mph, Out To CF"
747204,78,Roof Closed,"0 mph, None"
745420,62,Partly Cloudy,"9 mph, L To R"
745256,61,Cloudy,"1 mph, Calm"
745343,59,Partly Cloudy,"17 mph, Out To CF"
746799,55,Cloudy,"15 mph, Out To RF"
745821,71,Cloudy,"9 mph, Out To LF"
746796,55,Cloudy,"17 mph, Out To RF"
746799,55,Cloudy,"15 mph, Out To RF"
746473,68,Partly Cloudy,"12 mph, L To R"
746962,69,Clear,"7 mph, Out To CF"
747124,75,Partly Cloudy,"7 mph, Varies"
745909,71,Clear,"7 mph, In From CF"
745989,67,Roof Closed,"0 mph, None"
745014,84,Clear,"4 mph, Out To RF"
746396,73,Roof Closed,"0 mph, None"
746235,66,Clear,"8 mph, Out To CF"
747205,78,Roof Closed,"0 mph, None"
745418,62,Cloudy,"9 mph, L To R"
745257,67,Clear,"1 mph, Calm"
745342,56,Partly Cloudy,"17 mph, Out To CF"
747039,83,Partly Cloudy,"6 mph, Out To LF"
747038,64,Cloudy,"6 mph, Out To RF"
746472,70,Cloudy,"8 mph, L To R"
745992,61,Sunny,"12 mph, In From LF"
746795,60,Sunny,"14 mph, Out To RF"
747203,78,Roof Closed,"0 mph, None"
745417,63,Cloudy,"9 mph, L To R"
745259,61,Sunny,"5 mph, Out To RF"
745582,61,Cloudy,"12 mph, In From CF"
746960,67,Overcast,"2 mph, Out To LF"
747123,78,Partly Cloudy,"5 mph, Out To LF"
745908,71,Cloudy,"11 mph, R To L"
745015,74,Roof Closed,"0 mph, Calm"
746397,73,Roof Closed,"0 mph, None"
746231,68,Cloudy,"8 mph, Out To CF"
745341,58,Partly Cloudy,"15 mph, Out To CF"
745907,60,Partly Cloudy,"11 mph, Out To CF"
745580,66,Cloudy,"10 mph, In From CF"
746959,60,Partly Cloudy,"2 mph, In From RF"
746881,69,Cloudy,"11 mph, Out To LF"
746391,73,Roof Closed,"0 mph, None"
746150,64,Clear,"5 mph, Out To RF"
746878,77,Sunny,"6 mph, In From CF"
745579,68,Partly Cloudy,"6 mph, Out To CF"
747037,69,Cloudy,"4 mph, Out To LF"
745747,69,Cloudy,"6 mph, Varies"
744934,68,Roof Closed,"0 mph, None"
746641,66,Cloudy,"4 mph, R To L"
746065,72,Roof Closed,"0 mph, None"
747122,69,Cloudy,"6 mph, In From LF"
746310,78,Clear,"7 mph, L To R"
745016,81,Clear,"3 mph, In From LF"
746388,73,Roof Closed,"0 mph, None"
745178,73,Partly Cloudy,"8 mph, Out To LF"
747201,74,Roof Closed,"0 mph, None"
746148,65,Clear,"7 mph, Out To RF"
745335,58,Partly Cloudy,"14 mph, Out To CF"
745744,67,Partly Cloudy,"10 mph, In From LF"
746882,82,Partly Cloudy,"9 mph, R To L"
744938,61,Partly Cloudy,"13 mph, R To L"
747036,67,Cloudy,"5 mph, Out To LF"
745339,63,Sunny,"10 mph, Varies"
746067,72,Roof Closed,"0 mph, None"
745581,63,Rain,"3 mph, Out To LF"
746642,66,Clear,"9 mph, In From CF"
746308,87,Clear,"6 mph, R To L"
746389,73,Roof Closed,"0 mph, None"
745177,82,Clear,"3 mph, In From RF"
745013,74,Roof Closed,"0 mph, None"
747202,78,Roof Closed,"0 mph, None"
746142,67,Clear,"6 mph, L To R"
747121,82,Partly Cloudy,"4 mph, L To R"
745179,85,Sunny,"4 mph, Out To LF"
747035,70,Overcast,"1 mph, In From RF"
745577,74,Sunny,"7 mph, In From RF"
745745,70,Partly Cloudy,"9 mph, In From LF"
744937,60,Sunny,"6 mph, Out To CF"
746636,77,Sunny,"6 mph, In From CF"
746064,72,Roof Closed,"0 mph, None"
746306,85,Sunny,"7 mph, R To L"
746392,73,Roof Closed,"0 mph, None"
