game_id,temp,condition,wind
745848,53,Sunny,"17 mph, L To R"
745604,56,Sunny,"17 mph, In From LF"
745848,53,Sunny,"17 mph, L To R"
745604,56,Sunny,"17 mph, In From LF"
745117,72,Dome,"0 mph, None"
746091,73,Partly Cloudy,"13 mph, In From LF"
746412,73,Roof Closed,"0 mph, None"
747223,81,Clear,"10 mph, Out To RF"
745682,54,Partly Cloudy,"15 mph, Out To RF"
745276,53,Clear,"8 mph, Out To LF"
745435,61,Partly Cloudy,"9 mph, L To R"
746167,57,Cloudy,"8 mph, Out To LF"
745850,54,Sunny,"15 mph, Out To RF"
746818,61,Partly Cloudy,"12 mph, L To R"
747063,68,Cloudy,"4 mph, R To L"
745599,61,Partly Cloudy,"14 mph, Out To RF"
745684,60,Cloudy,"8 mph, Out To RF"
746736,75,Partly Cloudy,"17 mph, R To L"
745119,72,Dome,"0 mph, None"
746333,66,Sunny,"6 mph, In From LF"
746087,75,Cloudy,"12 mph, In From LF"
745037,74,Roof Closed,"0 mph, None"
745436,54,Cloudy,"13 mph, L To R"
746410,73,Roof Closed,"0 mph, None"
747221,76,Roof Closed,"0 mph, None"
746168,52,Cloudy,"10 mph, R To L"
745278,54,Roof Closed,"8 mph, In From LF"
747062,65,Cloudy,"3 mph, L To R"
745602,59,Cloudy,"10 mph, In From LF"
746739,58,Cloudy,"5 mph, In From LF"
745115,72,Dome,"0 mph, None"
746090,77,Sunny,"11 mph, In From LF"
745845,57,Sunny,"6 mph, L To R"
746332,69,Overcast,"9 mph, R To L"
746815,47,Partly Cloudy,"3 mph, L To R"
746413,73,Roof Closed,"0 mph, None"
745035,74,Roof Closed,"0 mph, None"
745683,58,Partly Cloudy,"5 mph, Out To RF"
747222,74,Roof Closed,"0 mph, None"
745279,52,Sunny,"3 mph, In From CF"
745438,60,Partly Cloudy,"12 mph, L To R"
746166,59,Cloudy,"10 mph, R To L"
746817,46,Cloudy,"13 mph, L To R"
746899,43,Overcast,"12 mph, In From LF"
744875,53,Cloudy,"4 mph, In From RF"
747058,57,Overcast,"2 mph, R To L"
745600,52,Cloudy,"5 mph, In From CF"
746085,77,Partly Cloudy,"11 mph, In From CF"
745109,72,Dome,"0 mph, None"
745842,52,Cloudy,"2 mph, Out To LF"
746409,73,Roof Closed,"0 mph, None"
745675,64,Clear,"10 mph, Out To RF"
745277,61,Clear,"1 mph, L To R"
745437,61,Clear,"11 mph, L To R"
747218,72,Roof Closed,"0 mph, None"
746170,64,Clear,"8 mph, L To R"
746009,64,Roof Closed,"0 mph, None"
747057,52,Cloudy,"9 mph, In From RF"
745598,46,Drizzle,"13 mph, R To L"
746086,79,Partly Cloudy,"13 mph, In From CF"
745111,72,Dome,"0 mph, None"
746898,42,Overcast,"20 mph, L To R"
746814,44,Overcast,"9 mph, Out To LF"
746411,73,Roof Closed,"0 mph, None"
745680,64,Clear,"12 mph, Out To RF"
745273,63,Partly Cloudy,"13 mph, Out To LF"
745439,66,Clear,"7 mph, L To R"
747220,72,Clear,"4 mph, L To R"
746169,66,Clear,"5 mph, Out To RF"
745844,43,Cloudy,"11 mph, L To R"
747059,46,Drizzle,"4 mph, In From RF"
745114,72,Dome,"0 mph, None"
746083,72,Roof Closed,"0 mph, None"
746008,64,Roof Closed,"0 mph, None"
745678,56,Cloudy,"11 mph, Varies"
747219,77,Sunny,"2 mph, Calm"
745603,48,Cloudy,"23 mph, R To L"
745275,52,Partly Cloudy,"9 mph, Out To CF"
745440,69,Sunny,"10 mph, L To R"
744869,52,Overcast,"7 mph, In From LF"
746900,36,Cloudy,"8 mph, In From LF"
746407,73,Roof Closed,"0 mph, None"
746163,63,Clear,"7 mph, Out To CF"
746816,70,Sunny,"10 mph, L To R"
745843,47,Partly Cloudy,"10 mph, In From LF"
745844,43,Cloudy,"11 mph, L To R"
745843,47,Partly Cloudy,"10 mph, In From LF"
744870,46,Partly Cloudy,"6 mph, Out To RF"
745928,48,Partly Cloudy,"13 mph, Out To LF"
745200,49,Overcast,"15 mph, Out To RF"
746327,60,Clear,"13 mph, L To R"
745764,46,Partly Cloudy,"16 mph, Out To LF"
746497,43,Partly Cloudy,"14 mph, L To R"
746897,43,Partly Cloudy,"15 mph, In From LF"
746576,75,Partly Cloudy,"10 mph, L To R"
745524,40,Cloudy,"12 mph, Out To CF"
745361,54,Partly Cloudy,"12 mph, Out To CF"
746733,46,Cloudy,"11 mph, Out To CF"
744874,48,Partly Cloudy,"4 mph, In From CF"
747143,59,Clear,"13 mph, R To L"
