game_id,temp,condition,wind
746415,72,Cloudy,"8 mph, L To R"
746738,73,Sunny,"8 mph, In From LF"
746495,86,Sunny,"3 mph, R To L"
745609,67,Sunny,"4 mph, Out To RF"
745691,73,Cloudy,"4 mph, Calm"
745853,82,Clear,"5 mph, Out To LF"
746088,69,Clear,"7 mph, Out To RF"
747139,73,Overcast,"4 mph, R To L"
746822,71,Overcast,"22 mph, In From RF"
746417,75,Cloudy,"22 mph, In From LF"
744797,76,Overcast,"10 mph, R To L"
745692,69,Partly Cloudy,"5 mph, In From CF"
744879,68,Cloudy,"15 mph, Out To LF"
746580,72,Cloudy,"12 mph, In From RF"
746904,72,Partly Cloudy,"6 mph, Out To LF"
747065,72,Cloudy,"9 mph, L To R"
746494,83,Clear,"6 mph, In From CF"
745847,81,Clear,"5 mph, L To R"
745930,68,Cloudy,"11 mph, L To R"
746173,69,Partly Cloudy,"6 mph, Out To CF"
747145,77,Roof Closed,"0 mph, None"
745202,60,Clear,"0 mph, Calm"
745280,77,Clear,"10 mph, Out To CF"
745685,65,Overcast,"14 mph, In From CF"
746414,70,Drizzle,"9 mph, L To R"
746819,68,Cloudy,"16 mph, In From LF"
744878,68,Roof Closed,"0 mph, None"
745281,65,Partly Cloudy,"14 mph, Out To CF"
744799,84,Partly Cloudy,"6 mph, R To L"
746902,71,Sunny,"8 mph, R To L"
746578,73,Overcast,"7 mph, In From CF"
745849,84,Clear,"6 mph, In From LF"
745931,71,Clear,"16 mph, L To R"
747066,72,Cloudy,"7 mph, R To L"
746499,86,Clear,"8 mph, Out To LF"
747146,78,Roof Closed,"0 mph, None"
746171,71,Clear,"6 mph, R To L"
745203,55,Roof Closed,"0 mph, Calm"
745282,62,Partly Cloudy,"8 mph, Out To CF"
746901,69,Cloudy,"6 mph, Out To LF"
744798,69,Overcast,"6 mph, In From RF"
745686,61,Rain,"10 mph, In From LF"
746174,75,Sunny,"6 mph, Out To CF"
744880,69,Partly Cloudy,"15 mph, L To R"
746496,85,Partly Cloudy,"3 mph, R To L"
747147,78,Roof Closed,"0 mph, None"
745201,56,Partly Cloudy,"1 mph, Calm"
745846,79,Sunny,"5 mph, R To L"
746416,72,Overcast,"8 mph, In From LF"
745932,72,Sunny,"15 mph, L To R"
746820,71,Cloudy,"15 mph, In From CF"
747061,76,Partly Cloudy,"8 mph, Out To LF"
746577,,,
747139,73,Overcast,"4 mph, R To L"
747064,76,Cloudy,"7 mph, R To L"
775345,73,Roof Closed,"0 mph, None"
775343,66,Overcast,"2 mph, In From LF"
775340,74,Roof Closed,"0 mph, None"
775333,72,Clear,"10 mph, In From LF"
775344,73,Roof Closed,"0 mph, None"
775341,69,Cloudy,"3 mph, L To R"
775339,73,Roof Closed,"0 mph, None"
775336,70,Clear,"6 mph, L To R"
775337,73,Roof Closed,"0 mph, None"
775324,68,Sunny,"9 mph, In From RF"
775318,77,Sunny,"7 mph, L To R"
775334,71,Clear,"6 mph, In From LF"
775323,77,Clear,"2 mph, Out To CF"
775319,76,Sunny,"4 mph, L To R"
775322,79,Clear,"5 mph, L To R"
775325,61,Partly Cloudy,"10 mph, L To R"
775332,67,Partly Cloudy,"4 mph, Out To RF"
775316,68,Partly Cloudy,"8 mph, Out To RF"
775321,68,Clear,"5 mph, R To L"
775328,65,Partly Cloudy,"9 mph, Out To CF"
775313,66,Clear,"11 mph, Out To RF"
775329,81,Clear,"6 mph, Out To LF"
775320,67,Clear,"10 mph, L To R"
775327,61,Clear,"2 mph, In From CF"
775331,78,Clear,"6 mph, R To L"
775317,80,Partly Cloudy,"2 mph, L To R"
775326,65,Sunny,"7 mph, In From CF"
775307,73,Clear,"5 mph, Out To CF"
775306,73,Partly Cloudy,"6 mph, Out To CF"
775314,50,Cloudy,"15 mph, L To R"
775312,52,Partly Cloudy,"2 mph, L To R"
775305,51,Clear,"8 mph, L To R"
775310,57,Clear,"5 mph, In From CF"
775303,53,Clear,"8 mph, In From LF"
775299,67,Clear,"7 mph, In From LF"
775311,56,Clear,"5 mph, In From RF"
775309,58,Clear,"5 mph, In From CF"
775302,78,Clear,"4 mph, Out To CF"
775300,76,Clear,"5 mph, R To L"
775294,77,Partly Cloudy,"5 mph, L To R"
775298,52,Clear,"5 mph, In From LF"
775297,61,Cloudy,"10 mph, R To L"
775296,67,Partly Cloudy,"5 mph, Out To LF"
