game_id,temp,condition,wind
748266,71,Sunny,"3 mph, L To R"
748344,75,Partly Cloudy,"16 mph, R To L"
748263,76,Partly Cloudy,"9 mph, In From RF"
748341,75,Cloudy,"6 mph, Out To LF"
748260,76,Cloudy,"5 mph, Varies"
748264,75,Overcast,"1 mph, Calm"
748265,72,Partly Cloudy,"15 mph, L To R"
748262,72,Sunny,"11 mph, R To L"
748258,74,Partly Cloudy,"18 mph, L To R"
748256,73,Sunny,"10 mph, L To R"
748255,73,Partly Cloudy,"12 mph, L To R"
748254,72,Sunny,"11 mph, L To R"
748257,68,Sunny,"9 mph, Out To LF"
748259,71,Sunny,"10 mph, L To R"
748252,74,Partly Cloudy,"4 mph, In From RF"
748251,76,Sunny,"4 mph, In From LF"
748253,73,Partly Cloudy,"5 mph, In From LF"
748247,71,Partly Cloudy,"3 mph, R To L"
748248,76,Overcast,"1 mph, Calm"
748250,76,Partly Cloudy,"5 mph, Out To CF"
748249,74,Overcast,"2 mph, Out To RF"
748246,73,Cloudy,"3 mph, R To L"
748261,75,Clear,"3 mph, In From LF"
748245,74,Sunny,"5 mph, In From LF"
748240,73,Sunny,"6 mph, In From LF"
748243,74,Sunny,"4 mph, L To R"
748238,74,Partly Cloudy,"3 mph, In From CF"
748244,74,Sunny,"8 mph, L To R"
748239,73,Sunny,"3 mph, Out To CF"
748237,78,Sunny,"7 mph, Out To RF"
748242,71,Sunny,"8 mph, In From LF"
748241,73,Sunny,"8 mph, L To R"
748236,78,Partly Cloudy,"5 mph, In From RF"
748232,79,Cloudy,"7 mph, Varies"
748233,77,Sunny,"1 mph, Calm"
748230,78,Cloudy,"4 mph, In From RF"
748231,77,Partly Cloudy,"4 mph, In From CF"
748235,78,Partly Cloudy,"4 mph, R To L"
748229,79,Partly Cloudy,"7 mph, L To R"
748234,78,Overcast,"3 mph, In From LF"
748227,74,Sunny,"5 mph, Varies"
748226,74,Partly Cloudy,"12 mph, R To L"
748222,73,Sunny,"6 mph, L To R"
748221,75,Sunny,"6 mph, L To R"
748228,74,Sunny,"12 mph, In From LF"
748223,74,Sunny,"3 mph, Out To CF"
748225,72,Sunny,"5 mph, In From RF"
748224,76,Sunny,"7 mph, Calm"
748218,74,Cloudy,"7 mph, L To R"
748219,71,Overcast,"1 mph, Calm"
748214,77,Cloudy,"7 mph, Varies"
748220,73,Cloudy,"6 mph, L To R"
748213,77,Overcast,"1 mph, Calm"
748216,73,Cloudy,"4 mph, Varies"
748215,76,Cloudy,"2 mph, L To R"
748217,73,Cloudy,"1 mph, Calm"
748211,77,Sunny,"11 mph, In From RF"
748210,75,Partly Cloudy,"5 mph, R To L"
748212,77,Sunny,"9 mph, In From RF"
748209,77,Sunny,"11 mph, In From CF"
748208,73,Sunny,"4 mph, In From CF"
748207,78,Sunny,"11 mph, Varies"
748205,76,Sunny,"13 mph, R To L"
748206,80,Sunny,"13 mph, Out To LF"
748203,73,Partly Cloudy,"14 mph, In From LF"
748204,73,Sunny,"5 mph, In From CF"
748201,73,Partly Cloudy,"6 mph, Out To CF"
748198,73,Sunny,"1 mph, Calm"
748199,74,Partly Cloudy,"6 mph, Out To RF"
748202,73,Partly Cloudy,"2 mph, Varies"
748200,74,Partly Cloudy,"8 mph, Varies"
748197,73,Partly Cloudy,"8 mph, L To R"
748196,80,Partly Cloudy,"8 mph, Out To LF"
748194,74,Sunny,"6 mph, In From CF"
748195,78,Sunny,"11 mph, R To L"
748189,78,Partly Cloudy,"17 mph, Out To LF"
748192,77,Partly Cloudy,"17 mph, In From RF"
748191,82,Sunny,"12 mph, Out To LF"
748193,80,Sunny,"13 mph, R To L"
748188,75,Sunny,"5 mph, In From RF"
748183,75,Sunny,"7 mph, In From LF"
748184,76,Sunny,"4 mph, In From LF"
748185,76,Partly Cloudy,"6 mph, Varies"
748190,76,Partly Cloudy,"8 mph, In From RF"
748186,76,Partly Cloudy,"7 mph, L To R"
748187,76,Partly Cloudy,"11 mph, In From RF"
748182,81,Sunny,"8 mph, R To L"
748179,81,Cloudy,"3 mph, L To R"
748180,79,Partly Cloudy,"6 mph, In From RF"
748175,80,Partly Cloudy,"5 mph, R To L"
748178,81,Partly Cloudy,"9 mph, R To L"
748176,75,Partly Cloudy,"3 mph, Out To RF"
748174,71,Sunny,"4 mph, L To R"
748169,71,Sunny,"1 mph, In From RF"
748172,73,Sunny,"3 mph, Varies"
748167,72,Sunny,"5 mph, R To L"
748173,71,Sunny,"3 mph, In From CF"
748168,70,Sunny,"5 mph, Varies"
748170,72,Sunny,"5 mph, Out To LF"
748181,75,Partly Cloudy,"8 mph, In From CF"
