game_id,temp,condition,wind
747107,84,Partly Cloudy,"13 mph, Out To RF"
745893,85,Partly Cloudy,"7 mph, R To L"
746867,87,Partly Cloudy,"16 mph, Out To CF"
745004,74,Roof Closed,"0 mph, None"
746783,88,Partly Cloudy,"17 mph, R To L"
746542,72,Cloudy,"5 mph, Out To LF"
746217,74,Clear,"10 mph, Out To CF"
745650,69,Partly Cloudy,"14 mph, Out To RF"
747106,80,Partly Cloudy,"12 mph, L To R"
745489,87,Partly Cloudy,"6 mph, Out To LF"
746050,72,Roof Closed,"0 mph, None"
745561,87,Sunny,"5 mph, Out To CF"
746864,91,Sunny,"13 mph, Out To CF"
744842,88,Partly Cloudy,"5 mph, Out To RF"
746625,85,Partly Cloudy,"6 mph, In From CF"
745732,81,Clear,"13 mph, R To L"
744920,84,Clear,"7 mph, Out To CF"
745887,72,Partly Cloudy,"4 mph, Out To CF"
745002,74,Roof Closed,"0 mph, None"
746781,90,Partly Cloudy,"9 mph, R To L"
746538,73,Partly Cloudy,"9 mph, Out To LF"
746219,72,Clear,"6 mph, Out To CF"
745646,60,Partly Cloudy,"18 mph, Varies"
744841,84,Partly Cloudy,"5 mph, Out To LF"
746626,88,Partly Cloudy,"2 mph, In From CF"
745889,69,Overcast,"6 mph, In From RF"
746782,77,Sunny,"9 mph, L To R"
746539,92,Partly Cloudy,"8 mph, L To R"
745645,63,Partly Cloudy,"10 mph, Varies"
745734,90,Partly Cloudy,"10 mph, Out To LF"
745164,90,Clear,"7 mph, In From CF"
745401,70,Clear,"9 mph, L To R"
746861,79,Sunny,"9 mph, R To L"
745483,96,Clear,"6 mph, Out To CF"
745562,93,Clear,"10 mph, Out To CF"
746460,85,Clear,"8 mph, In From RF"
745729,87,Partly Cloudy,"10 mph, L To R"
746698,91,Clear,"5 mph, Out To LF"
746624,85,Clear,"1 mph, In From CF"
746052,72,Roof Closed,"0 mph, None"
745006,74,Roof Closed,"0 mph, None"
746375,73,Roof Closed,"0 mph, None"
746540,84,Partly Cloudy,"5 mph, Out To CF"
745649,63,Clear,"10 mph, Varies"
745403,70,Clear,"7 mph, L To R"
746131,76,Clear,"7 mph, L To R"
746459,91,Partly Cloudy,"14 mph, R To L"
745163,91,Partly Cloudy,"13 mph, R To L"
746863,91,Cloudy,"8 mph, Out To CF"
745486,95,Partly Cloudy,"10 mph, Out To LF"
744997,74,Roof Closed,"0 mph, Calm"
745564,97,Partly Cloudy,"11 mph, Out To RF"
745644,76,Sunny,"3 mph, Out To RF"
746700,92,Partly Cloudy,"10 mph, R To L"
746376,73,Roof Closed,"0 mph, None"
746622,89,Partly Cloudy,"1 mph, L To R"
746048,72,Roof Closed,"0 mph, None"
745731,80,Cloudy,"8 mph, R To L"
745402,76,Sunny,"11 mph, L To R"
746541,83,Cloudy,"13 mph, L To R"
746132,79,Clear,"9 mph, Out To CF"
745566,91,Partly Cloudy,"14 mph, Out To RF"
745485,84,Cloudy,"16 mph, Out To LF"
745727,92,Partly Cloudy,"11 mph, Out To CF"
746699,80,Cloudy,"14 mph, Out To LF"
746621,78,Cloudy,"26 mph, L To R"
746457,84,Partly Cloudy,"15 mph, Out To LF"
746051,72,Roof Closed,"0 mph, None"
746373,73,Roof Closed,"0 mph, None"
745165,90,Sunny,"14 mph, Out To RF"
745000,74,Roof Closed,"0 mph, None"
746536,94,Sunny,"8 mph, In From LF"
745648,75,Sunny,"12 mph, Out To RF"
745396,79,Sunny,"8 mph, L To R"
746862,73,Partly Cloudy,"8 mph, In From LF"
747021,84,Partly Cloudy,"12 mph, In From LF"
746458,81,Partly Cloudy,"10 mph, Out To CF"
745078,0,Dome,"0 mph, None"
746696,85,Partly Cloudy,"5 mph, Out To LF"
746941,77,Partly Cloudy,"10 mph, In From LF"
745160,92,Clear,"9 mph, In From RF"
746780,80,Clear,"6 mph, In From LF"
746298,100,Clear,"16 mph, R To L"
745974,77,Clear,"8 mph, In From RF"
746218,84,Clear,"10 mph, R To L"
745397,77,Clear,"7 mph, L To R"
745323,65,Partly Cloudy,"14 mph, Out To CF"
747022,91,Partly Cloudy,"10 mph, Out To LF"
746454,84,Partly Cloudy,"16 mph, R To L"
745076,72,Dome,"0 mph, None"
746697,87,Partly Cloudy,"11 mph, R To L"
746943,85,Partly Cloudy,"5 mph, Out To CF"
745806,84,Clear,"10 mph, Out To LF"
746372,73,Roof Closed,"0 mph, None"
746775,81,Partly Cloudy,"12 mph, R To L"
746293,94,Clear,"13 mph, R To L"
745973,87,Partly Cloudy,"9 mph, Out To RF"
746213,79,Clear,"4 mph, Out To CF"
745399,72,Partly Cloudy,"8 mph, L To R"
747188,78,Roof Closed,"0 mph, None"
