game_id,temp,condition,wind
745322,62,Partly Cloudy,"13 mph, Out To CF"
745157,76,Drizzle,"7 mph, Out To RF"
745073,72,Dome,"0 mph, None"
746695,77,Overcast,"9 mph, R To L"
746456,80,Cloudy,"4 mph, Out To CF"
745157,76,Drizzle,"7 mph, Out To RF"
745158,81,Partly Cloudy,"9 mph, In From LF"
746374,73,Roof Closed,"0 mph, None"
746291,79,Partly Cloudy,"14 mph, L To R"
745975,83,Partly Cloudy,"9 mph, In From LF"
746212,80,Sunny,"4 mph, Out To CF"
745400,75,Partly Cloudy,"10 mph, L To R"
747019,89,Cloudy,"8 mph, Out To RF"
746942,81,Cloudy,"8 mph, Out To LF"
745808,83,Partly Cloudy,"8 mph, Out To LF"
746777,80,Partly Cloudy,"9 mph, Out To RF"
747184,74,Roof Closed,"0 mph, None"
745325,63,Partly Cloudy,"16 mph, Varies"
747185,78,Roof Closed,"0 mph, None"
745324,67,Sunny,"9 mph, Out To CF"
746816,70,Sunny,"10 mph, L To R"
745565,87,Partly Cloudy,"12 mph, L To R"
747020,88,Partly Cloudy,"4 mph, Out To RF"
744919,70,Clear,"10 mph, In From LF"
745162,86,Partly Cloudy,"6 mph, In From RF"
746288,84,Cloudy,"13 mph, R To L"
746210,77,Clear,"9 mph, Out To CF"
745560,79,Partly Cloudy,"9 mph, Out To LF"
745070,72,Dome,"0 mph, None"
747017,81,Partly Cloudy,"11 mph, R To L"
744922,68,Roof Closed,"0 mph, None"
745804,71,Clear,"10 mph, Out To LF"
746939,75,Clear,"6 mph, Out To CF"
746776,74,Cloudy,"5 mph, In From RF"
747105,88,Partly Cloudy,"8 mph, L To R"
746292,87,Partly Cloudy,"11 mph, R To L"
745970,74,Roof Closed,"3 mph, In From RF"
745161,86,Overcast,"13 mph, Out To LF"
746214,76,Clear,"10 mph, R To L"
747183,79,Roof Closed,"0 mph, None"
745238,66,Cloudy,"2 mph, L To R"
745319,64,Clear,"16 mph, Out To CF"
746778,87,Sunny,"8 mph, Out To LF"
745159,88,Partly Cloudy,"5 mph, Out To RF"
744921,68,Roof Closed,"0 mph, None"
745559,86,Cloudy,"13 mph, Out To CF"
746289,89,Cloudy,"8 mph, L To R"
745801,80,Partly Cloudy,"18 mph, Out To LF"
747186,78,Roof Closed,"0 mph, None"
746940,73,Cloudy,"3 mph, Out To LF"
745071,72,Dome,"0 mph, None"
747104,84,Partly Cloudy,"6 mph, Calm"
745972,85,Partly Cloudy,"9 mph, In From CF"
745317,68,Sunny,"18 mph, Out To CF"
747018,90,Partly Cloudy,"11 mph, Out To LF"
746211,77,Clear,"7 mph, R To L"
745239,67,Roof Closed,"0 mph, Calm"
747101,88,Partly Cloudy,"7 mph, Out To LF"
746938,86,Cloudy,"8 mph, Out To LF"
745555,81,Cloudy,"9 mph, Out To CF"
744916,64,Cloudy,"16 mph, L To R"
745802,82,Cloudy,"10 mph, Out To CF"
745072,72,Dome,"0 mph, None"
746290,78,Sunny,"8 mph, R To L"
746779,66,Sunny,"14 mph, L To R"
745971,67,Sunny,"6 mph, L To R"
745154,81,Sunny,"9 mph, In From LF"
745320,71,Sunny,"15 mph, Varies"
746209,87,Partly Cloudy,"6 mph, Out To CF"
747182,78,Roof Closed,"0 mph, None"
745243,68,Partly Cloudy,"4 mph, Out To RF"
747016,93,Partly Cloudy,"4 mph, Out To CF"
744914,69,Sunny,"8 mph, Out To CF"
744840,80,Partly Cloudy,"8 mph, In From LF"
746535,84,Partly Cloudy,"10 mph, In From CF"
745482,87,Clear,"10 mph, Out To RF"
746623,83,Partly Cloudy,"5 mph, R To L"
746047,72,Roof Closed,"0 mph, None"
744838,83,Clear,"7 mph, R To L"
745730,79,Partly Cloudy,"9 mph, R To L"
744913,68,Cloudy,"11 mph, R To L"
747102,89,Clear,"10 mph, L To R"
745886,72,Overcast,"4 mph, R To L"
744999,74,Roof Closed,"0 mph, None"
746860,83,Partly Cloudy,"15 mph, Out To LF"
746282,92,Cloudy,"13 mph, R To L"
746537,87,Partly Cloudy,"7 mph, In From CF"
745647,85,Clear,"11 mph, Out To RF"
745240,69,Partly Cloudy,"4 mph, L To R"
746133,75,Clear,"8 mph, Out To RF"
745487,91,Partly Cloudy,"13 mph, Out To LF"
746617,85,Partly Cloudy,"3 mph, L To R"
746045,72,Roof Closed,"0 mph, None"
744837,86,Partly Cloudy,"4 mph, Out To LF"
745728,77,Clear,"13 mph, R To L"
744915,79,Cloudy,"10 mph, Out To RF"
747100,90,Partly Cloudy,"8 mph, L To R"
744998,74,Roof Closed,"0 mph, None"
746858,84,Partly Cloudy,"4 mph, R To L"
746283,76,Rain,"7 mph, R To L"
