game_id,temp,condition,wind
745413,63,Partly Cloudy,"8 mph, L To R"
745172,64,Overcast,"10 mph, R To L"
747034,82,Overcast,"7 mph, Out To LF"
745904,60,Cloudy,"2 mph, Out To CF"
746788,66,Cloudy,"6 mph, Out To CF"
746549,74,Sunny,"7 mph, R To L"
746708,78,Partly Cloudy,"17 mph, Out To LF"
747118,83,Partly Cloudy,"11 mph, R To L"
745986,69,Roof Closed,"0 mph, None"
745338,63,Sunny,"14 mph, Out To CF"
745416,66,Partly Cloudy,"9 mph, L To R"
745254,62,Partly Cloudy,"4 mph, L To R"
745816,76,Partly Cloudy,"14 mph, Out To RF"
745818,81,Clear,"14 mph, Out To RF"
745816,76,Partly Cloudy,"14 mph, Out To RF"
747033,77,Partly Cloudy,"13 mph, Out To RF"
746709,72,Partly Cloudy,"9 mph, Out To LF"
745091,72,Dome,"0 mph, None"
747115,82,Partly Cloudy,"7 mph, Out To LF"
745903,65,Partly Cloudy,"10 mph, L To R"
746791,61,Rain,"9 mph, Out To CF"
745987,69,Roof Closed,"0 mph, None"
745017,74,Roof Closed,"0 mph, None"
746552,74,Cloudy,"6 mph, In From LF"
746229,69,Clear,"6 mph, Out To CF"
745258,56,Cloudy,"5 mph, R To L"
745412,63,Partly Cloudy,"8 mph, L To R"
745337,60,Clear,"16 mph, Out To CF"
746468,70,Partly Cloudy,"13 mph, Out To RF"
746467,68,Cloudy,"8 mph, L To R"
746468,70,Partly Cloudy,"13 mph, Out To RF"
746706,66,Cloudy,"11 mph, Out To CF"
745011,74,Roof Closed,"0 mph, None"
745333,65,Sunny,"7 mph, Out To CF"
745817,76,Partly Cloudy,"5 mph, Out To RF"
745414,64,Partly Cloudy,"9 mph, L To R"
747031,67,Overcast,"8 mph, Out To RF"
745084,72,Dome,"0 mph, None"
747117,80,Partly Cloudy,"10 mph, Out To CF"
745900,71,Partly Cloudy,"8 mph, R To L"
746790,60,Clear,"13 mph, L To R"
745988,61,Roof Closed,"0 mph, None"
746551,78,Clear,"6 mph, R To L"
746228,68,Clear,"9 mph, Out To CF"
745250,54,Roof Closed,"0 mph, None"
745081,72,Dome,"0 mph, None"
745898,77,Partly Cloudy,"14 mph, R To L"
745985,64,Sunny,"8 mph, In From LF"
745249,54,Partly Cloudy,"2 mph, Out To RF"
746954,62,Partly Cloudy,"3 mph, Out To RF"
745819,69,Partly Cloudy,"6 mph, In From LF"
747114,79,Clear,"9 mph, Out To LF"
746225,68,Clear,"11 mph, Out To CF"
746877,76,Partly Cloudy,"7 mph, R To L"
745574,77,Clear,"11 mph, In From LF"
747032,74,Clear,"7 mph, In From LF"
744928,71,Clear,"14 mph, In From LF"
746955,73,Partly Cloudy,"9 mph, Out To RF"
746635,69,Clear,"4 mph, In From CF"
745820,74,Clear,"9 mph, L To R"
746059,72,Roof Closed,"0 mph, None"
747116,78,Partly Cloudy,"8 mph, In From LF"
746303,69,Overcast,"7 mph, R To L"
746387,73,Roof Closed,"0 mph, None"
745983,74,Roof Closed,"0 mph, None"
746140,64,Clear,"8 mph, Out To RF"
745253,68,Clear,"9 mph, L To R"
745331,61,Clear,"17 mph, Out To CF"
744932,70,Partly Cloudy,"7 mph, Out To CF"
747029,83,Partly Cloudy,"4 mph, Out To LF"
746952,80,Sunny,"9 mph, Out To RF"
746629,80,Partly Cloudy,"7 mph, L To R"
745812,84,Sunny,"6 mph, Out To RF"
746305,80,Partly Cloudy,"7 mph, L To R"
746384,73,Roof Closed,"0 mph, None"
747111,75,Cloudy,"9 mph, L To R"
746062,72,Roof Closed,"0 mph, None"
745980,71,Roof Closed,"0 mph, None"
746870,62,Drizzle,"4 mph, L To R"
745251,65,Cloudy,"8 mph, Out To LF"
745575,81,Clear,"7 mph, Out To CF"
745332,64,Partly Cloudy,"18 mph, Varies"
746138,65,Clear,"9 mph, L To R"
746383,73,Roof Closed,"0 mph, None"
746953,83,Partly Cloudy,"4 mph, Out To RF"
747030,81,Partly Cloudy,"8 mph, Out To CF"
747110,77,Cloudy,"8 mph, In From RF"
744929,68,Roof Closed,"0 mph, None"
746632,68,Overcast,"2 mph, Out To CF"
745813,81,Sunny,"5 mph, Out To LF"
746061,72,Roof Closed,"0 mph, None"
746301,82,Cloudy,"11 mph, R To L"
745984,74,Partly Cloudy,"3 mph, In From LF"
746871,67,Sunny,"6 mph, In From CF"
745330,63,Sunny,"13 mph, Varies"
746141,69,Overcast,"2 mph, Calm"
745252,60,Roof Closed,"2 mph, Calm"
745572,80,Partly Cloudy,"12 mph, Out To RF"
745569,85,Cloudy,"5 mph, In From CF"
744854,84,Partly Cloudy,"2 mph, Out To LF"
