game_id,temp,condition,wind
747209,77,Roof Closed,"0 mph, None"
746155,61,Cloudy,"6 mph, L To R"
745504,73,Cloudy,"8 mph, Out To LF"
744861,69,Overcast,"1 mph, In From LF"
745751,51,Rain,"11 mph, R To L"
746643,66,Cloudy,"8 mph, L To R"
745103,72,Dome,"0 mph, None"
746395,73,Roof Closed,"0 mph, None"
746314,63,Cloudy,"7 mph, In From RF"
745913,68,Partly Cloudy,"4 mph, R To L"
745185,71,Partly Cloudy,"1 mph, In From RF"
746883,54,Sunny,"3 mph, In From LF"
745667,59,Partly Cloudy,"10 mph, Varies"
746719,80,Partly Cloudy,"8 mph, Out To LF"
747206,76,Roof Closed,"0 mph, None"
746153,66,Partly Cloudy,"8 mph, L To R"
745587,59,Cloudy,"6 mph, Out To CF"
745585,72,Cloudy,"4 mph, L To R"
746639,65,Cloudy,"10 mph, In From CF"
745509,71,Partly Cloudy,"3 mph, Out To LF"
745098,72,Dome,"0 mph, None"
746313,74,Cloudy,"14 mph, R To L"
746886,63,Clear,"12 mph, In From CF"
745912,72,Partly Cloudy,"15 mph, L To R"
745182,76,Clear,"6 mph, R To L"
745669,59,Partly Cloudy,"15 mph, Out To RF"
746149,65,Clear,"4 mph, Out To RF"
745668,62,Sunny,"5 mph, Out To RF"
746638,72,Drizzle,"3 mph, Calm"
746718,75,Cloudy,"11 mph, R To L"
745508,75,Cloudy,"12 mph, Out To CF"
745586,78,Partly Cloudy,"5 mph, L To R"
744859,77,Cloudy,"5 mph, Out To LF"
745095,72,Dome,"0 mph, None"
745752,73,Partly Cloudy,"11 mph, Out To LF"
747126,81,Partly Cloudy,"8 mph, In From RF"
746885,71,Clear,"10 mph, In From RF"
745915,68,Partly Cloudy,"10 mph, Out To LF"
746315,77,Clear,"14 mph, R To L"
745186,84,Clear,"10 mph, Out To RF"
746559,50,Partly Cloudy,"10 mph, L To R"
746147,66,Clear,"7 mph, Out To RF"
745507,75,Sunny,"11 mph, Out To LF"
745584,82,Partly Cloudy,"11 mph, Out To RF"
746640,72,Sunny,"16 mph, L To R"
746312,67,Partly Cloudy,"8 mph, R To L"
746879,77,Sunny,"8 mph, R To L"
746151,70,Sunny,"4 mph, R To L"
745664,75,Sunny,"15 mph, Out To RF"
745659,79,Clear,"16 mph, Out To RF"
746717,77,Cloudy,"5 mph, In From RF"
744858,84,Partly Cloudy,"3 mph, Out To RF"
745097,72,Dome,"0 mph, None"
745749,83,Partly Cloudy,"16 mph, Out To RF"
747127,84,Partly Cloudy,"3 mph, Out To LF"
745906,75,Partly Cloudy,"4 mph, In From LF"
746562,56,Partly Cloudy,"16 mph, In From LF"
745184,94,Partly Cloudy,"3 mph, R To L"
746715,71,Overcast,"7 mph, R To L"
745910,63,Partly Cloudy,"10 mph, In From LF"
746563,51,Cloudy,"4 mph, R To L"
745748,66,Overcast,"9 mph, L To R"
746802,53,Drizzle,"12 mph, L To R"
745995,67,Roof Closed,"0 mph, None"
746241,67,Clear,"11 mph, Out To CF"
746479,66,Partly Cloudy,"7 mph, Out To CF"
745506,59,Cloudy,"5 mph, Out To RF"
745094,72,Dome,"0 mph, None"
747043,55,Overcast,"5 mph, In From CF"
744940,68,Roof Closed,"0 mph, None"
746964,51,Clear,"5 mph, In From RF"
745827,51,Drizzle,"6 mph, In From RF"
746071,72,Roof Closed,"0 mph, None"
746801,67,Partly Cloudy,"10 mph, R To L"
745993,68,Roof Closed,"0 mph, None"
746553,56,Partly Cloudy,"3 mph, L To R"
746240,66,Partly Cloudy,"6 mph, Out To CF"
745421,64,Partly Cloudy,"7 mph, L To R"
745264,77,Clear,"4 mph, L To R"
745340,64,Clear,"11 mph, Out To CF"
744943,68,Roof Closed,"0 mph, None"
747041,70,Partly Cloudy,"3 mph, Out To LF"
745505,55,Cloudy,"9 mph, Out To CF"
746963,54,Sunny,"4 mph, In From RF"
745828,59,Sunny,"10 mph, Out To LF"
746069,72,Roof Closed,"0 mph, None"
745096,72,Dome,"0 mph, None"
746480,57,Overcast,"18 mph, Out To LF"
746797,58,Clear,"8 mph, In From CF"
745344,66,Sunny,"16 mph, Out To CF"
745994,68,Roof Closed,"0 mph, None"
746554,64,Cloudy,"7 mph, In From LF"
745422,63,Cloudy,"10 mph, L To R"
746232,67,Clear,"10 mph, R To L"
745262,76,Clear,"2 mph, Out To RF"
747042,68,Cloudy,"11 mph, L To R"
746965,61,Partly Cloudy,"2 mph, Out To CF"
745499,59,Overcast,"9 mph, Out To CF"
744941,60,Partly Cloudy,"9 mph, In From LF"
746476,66,Sunny,"4 mph, R To L"
