game_id,temp,condition,wind
748177,75,Cloudy,"14 mph, In From LF"
748171,75,Clear,"6 mph, Out To CF"
748165,79,Cloudy,"18 mph, R To L"
748162,79,Cloudy,"15 mph, R To L"
748161,79,Cloudy,"11 mph, R To L"
748164,82,Cloudy,"15 mph, L To R"
748160,80,Cloudy,"12 mph, R To L"
748166,80,Cloudy,"17 mph, R To L"
748159,80,Cloudy,"11 mph, Out To LF"
748154,75,Sunny,"8 mph, Out To CF"
748151,74,Sunny,"8 mph, In From RF"
748153,75,Sunny,"6 mph, Out To CF"
748158,75,Sunny,"5 mph, Varies"
748152,75,Sunny,"7 mph, Varies"
748155,74,Sunny,"5 mph, R To L"
748163,74,Partly Cloudy,"6 mph, Out To LF"
748156,77,Clear,"7 mph, Out To CF"
748157,76,Clear,"6 mph, In From RF"
748150,81,Overcast,"10 mph, R To L"
748147,79,Cloudy,"6 mph, L To R"
748145,77,Cloudy,"14 mph, In From CF"
748148,80,Overcast,"13 mph, Out To LF"
748146,77,Cloudy,"7 mph, Out To CF"
748141,78,Cloudy,"11 mph, R To L"
748144,75,Overcast,"6 mph, R To L"
748149,80,Overcast,"13 mph, R To L"
748140,72,Sunny,"12 mph, Out To CF"
748143,74,Sunny,"11 mph, Out To LF"
748135,72,Sunny,"1 mph, Calm"
748136,73,Sunny,"13 mph, R To L"
748142,74,Sunny,"5 mph, Out To RF"
748137,73,Sunny,"7 mph, Varies"
748139,70,Sunny,"7 mph, Varies"
748138,72,Sunny,"1 mph, Calm"
748134,81,Cloudy,"6 mph, In From CF"
748129,70,Cloudy,"7 mph, R To L"
748132,81,Cloudy,"7 mph, R To L"
748127,82,Partly Cloudy,"10 mph, Out To LF"
748133,79,Partly Cloudy,"7 mph, Out To RF"
748131,84,Cloudy,"7 mph, Out To RF"
748125,70,Partly Cloudy,"10 mph, Out To RF"
748124,70,Partly Cloudy,"11 mph, Out To RF"
748126,70,Partly Cloudy,"11 mph, In From RF"
748121,69,Partly Cloudy,"4 mph, L To R"
748123,70,Partly Cloudy,"4 mph, Calm"
748122,68,Sunny,"5 mph, Out To CF"
748120,69,Partly Cloudy,"6 mph, Out To RF"
748119,69,Partly Cloudy,"7 mph, Out To LF"
748130,,,
748128,,,
748115,78,Partly Cloudy,"7 mph, Out To LF"
748118,80,Cloudy,"8 mph, In From RF"
748116,82,Cloudy,"7 mph, R To L"
748117,80,Partly Cloudy,"8 mph, In From CF"
748114,81,Overcast,"3 mph, R To L"
748113,74,Sunny,"7 mph, L To R"
748107,69,Sunny,"10 mph, Varies"
748111,70,Sunny,"5 mph, R To L"
748109,70,Sunny,"6 mph, R To L"
748110,72,Partly Cloudy,"6 mph, R To L"
748106,70,Partly Cloudy,"3 mph, In From CF"
748112,75,Partly Cloudy,"8 mph, L To R"
748104,84,Overcast,"6 mph, R To L"
748102,82,Cloudy,"9 mph, In From CF"
748105,79,Partly Cloudy,"10 mph, In From RF"
748108,77,Cloudy,"9 mph, R To L"
748103,83,Partly Cloudy,"8 mph, R To L"
748101,78,Partly Cloudy,"10 mph, Varies"
748098,82,Partly Cloudy,"8 mph, R To L"
748096,73,Sunny,"3 mph, In From RF"
748097,73,Sunny,"4 mph, Out To CF"
748094,72,Sunny,"4 mph, Out To CF"
748095,74,Sunny,"4 mph, Calm"
748099,72,Partly Cloudy,"6 mph, Out To LF"
748100,73,Partly Cloudy,"5 mph, Out To LF"
748093,76,Partly Cloudy,"7 mph, R To L"
748089,77,Partly Cloudy,"10 mph, Out To CF"
748092,76,Overcast,"10 mph, Out To RF"
748090,68,Overcast,"1 mph, Calm"
748083,71,Overcast,"5 mph, R To L"
748085,72,Partly Cloudy,"3 mph, In From LF"
748080,71,Cloudy,"4 mph, R To L"
748084,72,Cloudy,"4 mph, Out To RF"
748087,71,Cloudy,"4 mph, Varies"
748082,72,Overcast,"1 mph, Calm"
748086,71,Partly Cloudy,"4 mph, R To L"
748088,75,Rain,"3 mph, Varies"
748091,,,
748079,79,Overcast,"10 mph, L To R"
748076,76,Sunny,"11 mph, R To L"
748075,77,Overcast,"10 mph, L To R"
748074,62,Rain,"6 mph, L To R"
748067,63,Overcast,"8 mph, Out To RF"
748073,62,Overcast,"5 mph, L To R"
748077,80,Partly Cloudy,"4 mph, R To L"
748078,75,Partly Cloudy,"5 mph, R To L"
748081,78,Partly Cloudy,"5 mph, L To R"
748072,62,Cloudy,"10 mph, R To L"
748071,,,
748069,,,
