game_id,temp,condition,wind
747967,66,Partly Cloudy,"3 mph, In From RF"
747965,69,Cloudy,"3 mph, Out To RF"
747969,67,Partly Cloudy,"1 mph, Varies"
747966,68,Cloudy,"3 mph, In From CF"
747964,68,Cloudy,"3 mph, Calm"
747973,79,Partly Cloudy,"11 mph, R To L"
747968,67,Overcast,"5 mph, R To L"
747963,84,Partly Cloudy,"10 mph, Out To LF"
747956,85,Sunny,"7 mph, R To L"
747962,81,Sunny,"8 mph, R To L"
747953,61,Drizzle,"8 mph, Out To CF"
747955,62,Drizzle,"8 mph, Out To LF"
747959,83,Partly Cloudy,"10 mph, R To L"
747958,80,Partly Cloudy,"11 mph, In From CF"
747957,80,Clear,"10 mph, In From RF"
747961,82,Partly Cloudy,"10 mph, R To L"
747960,81,Partly Cloudy,"9 mph, Out To CF"
747951,,,
747949,,,
747952,,,
747950,,,
747954,,,
747944,79,Partly Cloudy,"7 mph, L To R"
747948,81,Cloudy,"5 mph, R To L"
747943,76,Partly Cloudy,"2 mph, L To R"
747942,77,Cloudy,"6 mph, Out To CF"
747941,82,Partly Cloudy,"7 mph, Out To RF"
747937,63,Sunny,"6 mph, Out To CF"
747947,81,Cloudy,"8 mph, L To R"
747935,64,Partly Cloudy,"7 mph, Out To RF"
747938,63,Partly Cloudy,"4 mph, In From LF"
747939,64,Sunny,"7 mph, In From RF"
747934,65,Partly Cloudy,"3 mph, Varies"
747930,62,Sunny,"1 mph, In From LF"
747940,64,Partly Cloudy,"1 mph, Calm"
747936,64,Partly Cloudy,"2 mph, Calm"
747932,65,Cloudy,"3 mph, Calm"
747933,63,Partly Cloudy,"3 mph, Out To CF"
747945,81,Cloudy,"9 mph, R To L"
747946,75,Partly Cloudy,"10 mph, L To R"
764835,72,Dome,"0 mph, None"
764836,72,Dome,"0 mph, None"
747931,81,Cloudy,"8 mph, R To L"
747927,85,Partly Cloudy,"4 mph, In From CF"
747928,85,Partly Cloudy,"8 mph, Out To RF"
747926,80,Cloudy,"5 mph, Out To CF"
747925,81,Partly Cloudy,"7 mph, In From LF"
747923,80,Partly Cloudy,"4 mph, R To L"
747929,81,Partly Cloudy,"3 mph, Out To CF"
747921,80,Cloudy,"10 mph, Out To CF"
747924,74,Cloudy,"3 mph, R To L"
747922,84,Partly Cloudy,"14 mph, Out To RF"
747917,64,Cloudy,"1 mph, Calm"
747916,65,Partly Cloudy,"1 mph, Calm"
747915,62,Partly Cloudy,"4 mph, In From LF"
747920,64,Partly Cloudy,"3 mph, Varies"
747919,65,Partly Cloudy,"4 mph, Out To RF"
747918,69,Partly Cloudy,"3 mph, Varies"
747914,69,Cloudy,"4 mph, In From LF"
764837,72,Dome,"0 mph, None"
764834,72,Dome,"0 mph, None"
747913,85,Overcast,"8 mph, Out To CF"
747910,77,Cloudy,"9 mph, Out To RF"
747908,81,Overcast,"4 mph, Out To LF"
747909,80,Cloudy,"11 mph, Out To CF"
747912,86,Cloudy,"10 mph, R To L"
747904,74,Partly Cloudy,"6 mph, In From RF"
747906,74,Sunny,"1 mph, Varies"
747905,74,Cloudy,"3 mph, Varies"
747907,71,Cloudy,"9 mph, Out To LF"
747911,71,Cloudy,"9 mph, L To R"
747903,71,Partly Cloudy,"6 mph, L To R"
747900,69,Partly Cloudy,"12 mph, L To R"
747897,71,Sunny,"15 mph, L To R"
747902,63,Sunny,"8 mph, Out To RF"
747892,75,Partly Cloudy,"4 mph, R To L"
747890,75,Sunny,"2 mph, In From LF"
747896,74,Partly Cloudy,"2 mph, Calm"
747894,74,Sunny,"9 mph, In From LF"
747893,76,Sunny,"3 mph, Varies"
747899,68,Clear,"6 mph, In From CF"
747898,72,Partly Cloudy,"14 mph, In From RF"
747901,64,Clear,"11 mph, In From CF"
747895,72,Cloudy,"9 mph, In From LF"
747891,69,Clear,"1 mph, Calm"
745444,72,Dome,"0 mph, None"
747889,74,Sunny,"7 mph, R To L"
747885,74,Sunny,"4 mph, In From CF"
747888,77,Sunny,"8 mph, L To R"
747882,76,Partly Cloudy,"1 mph, Calm"
747878,75,Sunny,"5 mph, In From CF"
747879,78,Sunny,"4 mph, Out To LF"
747880,77,Sunny,"3 mph, Out To RF"
747881,75,Sunny,"5 mph, Out To RF"
747886,73,Clear,"7 mph, R To L"
747884,74,Clear,"13 mph, R To L"
747887,73,Clear,"8 mph, L To R"
747883,75,Clear,"6 mph, Out To RF"
746175,72,Dome,"0 mph, None"
747875,77,Sunny,"5 mph, Out To LF"
