game_id,temp,condition,wind
747876,79,Sunny,"8 mph, In From RF"
747872,80,Partly Cloudy,"12 mph, R To L"
747874,77,Sunny,"5 mph, Out To CF"
747870,74,Partly Cloudy,"0 mph, Calm"
747868,79,Sunny,"6 mph, Out To LF"
747865,77,Sunny,"6 mph, Out To CF"
747869,76,Sunny,"1 mph, Calm"
747877,81,Cloudy,"5 mph, Varies"
747873,78,Cloudy,"6 mph, Out To CF"
747867,81,Clear,"9 mph, Out To LF"
747871,78,Clear,"4 mph, Out To RF"
747864,70,Overcast,"13 mph, Out To LF"
747863,70,Cloudy,"17 mph, R To L"
747866,69,Overcast,"13 mph, Out To RF"
747855,77,Sunny,"4 mph, In From CF"
747852,76,Partly Cloudy,"4 mph, Out To LF"
747857,82,Sunny,"1 mph, Calm"
747849,81,Sunny,"4 mph, R To L"
747856,81,Sunny,"4 mph, Out To LF"
747853,83,Sunny,"4 mph, Varies"
747851,80,Sunny,"2 mph, Calm"
747850,82,Sunny,"3 mph, Calm"
747854,80,Partly Cloudy,"5 mph, R To L"
747848,83,Sunny,"4 mph, R To L"
747858,,,
747859,,,
747862,,,
747860,,,
747861,,,
747846,75,Sunny,"15 mph, Out To RF"
747843,77,Overcast,"11 mph, R To L"
747847,81,Partly Cloudy,"18 mph, L To R"
747842,78,Overcast,"12 mph, L To R"
747839,77,Partly Cloudy,"13 mph, L To R"
747837,76,Partly Cloudy,"16 mph, L To R"
747845,73,Sunny,"11 mph, Out To CF"
747844,74,Overcast,"12 mph, Out To RF"
747836,75,Cloudy,"1 mph, In From LF"
747831,72,Overcast,"3 mph, L To R"
747834,74,Partly Cloudy,"7 mph, Out To CF"
747835,78,Cloudy,"3 mph, Calm"
747832,78,Cloudy,"10 mph, Varies"
747830,76,Partly Cloudy,"5 mph, In From LF"
747833,78,Partly Cloudy,"8 mph, Out To CF"
747840,72,Clear,"15 mph, Out To CF"
747841,78,Cloudy,"15 mph, L To R"
747838,79,Cloudy,"12 mph, Out To CF"
747825,76,Partly Cloudy,"10 mph, Varies"
747826,74,Partly Cloudy,"14 mph, R To L"
747828,70,Partly Cloudy,"10 mph, In From CF"
747823,76,Sunny,"10 mph, In From RF"
747824,73,Sunny,"12 mph, L To R"
747821,76,Cloudy,"11 mph, In From CF"
747829,75,Cloudy,"14 mph, In From CF"
747827,74,Cloudy,"12 mph, L To R"
766493,85,Sunny,"9 mph, Out To RF"
747818,64,Cloudy,"13 mph, Out To RF"
747819,63,Cloudy,"11 mph, Out To RF"
747817,60,Partly Cloudy,"9 mph, L To R"
747820,61,Sunny,"9 mph, Out To LF"
747822,60,Drizzle,"6 mph, Out To RF"
764388,64,Partly Cloudy,"11 mph, In From LF"
747816,77,Sunny,"15 mph, Out To LF"
747815,77,Sunny,"17 mph, R To L"
747813,80,Partly Cloudy,"16 mph, R To L"
748868,79,Sunny,"14 mph, R To L"
748338,65,Partly Cloudy,"8 mph, L To R"
747810,64,Sunny,"8 mph, In From RF"
764494,59,Partly Cloudy,"8 mph, R To L"
766494,78,Cloudy,"14 mph, Out To LF"
747812,74,Roof Closed,"0 mph, Calm"
747814,73,Roof Closed,"0 mph, None"
747811,61,Partly Cloudy,"7 mph, Out To LF"
747809,67,Partly Cloudy,"2 mph, Varies"
747808,61,Cloudy,"8 mph, L To R"
747807,57,Partly Cloudy,"15 mph, Out To RF"
761424,51,Partly Cloudy,"1 mph, In From LF"
747806,72,Dome,"0 mph, None"
747804,83,Cloudy,"10 mph, L To R"
747802,52,Sunny,"10 mph, L To R"
748339,64,Partly Cloudy,"2 mph, Calm"
747798,64,Partly Cloudy,"1 mph, Calm"
747803,66,Partly Cloudy,"6 mph, Out To CF"
747799,63,Partly Cloudy,"9 mph, L To R"
747800,58,Partly Cloudy,"14 mph, Out To CF"
747805,69,Clear,"7 mph, In From CF"
747801,64,Partly Cloudy,"7 mph, R To L"
747060,54,Cloudy,"9 mph, In From LF"
746737,56,Clear,"10 mph, R To L"
745445,63,Partly Cloudy,"12 mph, L To R"
746165,66,Partly Cloudy,"6 mph, Out To RF"
745116,72,Dome,"0 mph, None"
746335,65,Sunny,"16 mph, R To L"
746821,50,Partly Cloudy,"14 mph, Out To LF"
746089,72,Roof Closed,"0 mph, None"
746418,73,Roof Closed,"0 mph, None"
745039,74,Roof Closed,"0 mph, None"
745687,55,Cloudy,"10 mph, Out To RF"
747224,73,Overcast,"2 mph, Calm"
745283,53,Roof Closed,"0 mph, Calm"
